,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
24,2039.0,0.0,0.0,1.04,0.00255,0.0,0.009608,0.18212,12.463899999999999,0.00708170000000001,0.0,0.0,0.0,0.0,0.0,0.159559
25,2040.0,0.0,0.0,1.04,0.002125,0.011606525144131477,0.009608,0.18212,12.463899999999999,0.0,0.1489449112216112,0.0,0.0,0.0,0.0,0.0
26,2041.0,0.0,0.0,1.04,0.0017,0.02110728024193148,0.009608,0.18212,12.463899999999999,0.0,0.894533771918135,0.0,0.0,0.0,0.0,0.0
27,2042.0,0.0,0.0,1.04,0.001275,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,1.7008525164447175,0.0,0.0,0.0,0.0,0.0
28,2043.0,0.0,0.0,1.04,0.00085,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,2.448234969208471,0.0,0.0,0.4178418170774598,0.0,0.0
29,2044.0,0.0,0.0,1.04,0.000425000000000001,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,2.508075409572803,0.0,0.0,3.41784181707746,0.0,0.0
30,2045.0,0.0,0.0,0.92,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,2.6976423310187196,0.049343322993216844,0.0,6.41784181707746,0.0,0.0
31,2046.0,0.0,0.0,0.9847917127113407,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,2.6976423310187196,0.049343322993216844,0.0,9.41784181707746,0.4733771931037217,0.0
32,2047.0,0.0,0.0,1.1347917127113407,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,2.6976423310187196,0.0870240266650565,0.0,12.41784181707746,0.9733771931037217,0.0
33,2048.0,0.0,0.0,1.1847917127113408,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,2.7633507516436,0.2828129118490005,0.0,15.41784181707746,1.4733771931037216,0.0
34,2049.0,0.0,0.0,1.1847917127113408,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.0236675494676177,0.41922622506742446,0.0,18.41784181707746,1.9733771931037216,0.0
35,2050.0,0.0,0.0,1.2347917127113406,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,21.41784181707746,2.4733771931037216,0.0
36,2051.0,0.0,0.0,1.2347917127113406,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,24.41784181707746,2.7192127253760177,0.0
37,2052.0,0.0,0.0,1.2347917127113406,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,27.41784181707746,3.0559061636156364,0.0
38,2053.0,0.0,0.0,1.2347917127113406,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,30.41784181707746,3.4866830739328356,0.0
39,2054.0,0.0,0.0,1.2998490276557138,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,33.41784181707746,3.9866830739328356,0.0
40,2055.0,0.0,0.0,1.5498490276557138,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,36.41784181707746,4.486683073932835,0.0
41,2056.0,0.0,0.0,1.5498490276557138,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,39.41784181707746,4.986683073932836,0.0
42,2057.0,0.0,0.0,1.6344455568181409,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,42.41784181707746,5.486683073932836,0.0
43,2058.0,0.0,0.0,1.7039214994821927,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,45.41784181707746,5.986683073932836,0.0
44,2059.0,0.0,0.0,1.9502408598829661,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,48.41784181707746,6.486683073932836,0.0
45,2060.0,0.0,0.0,2.200240859882966,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,51.41784181707746,6.986683073932836,0.0
46,2061.0,0.0,0.0,2.2406092837527383,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,54.41784181707746,7.215625925210373,0.0
47,2062.0,0.0,0.0,2.466480407384233,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,57.41784181707746,7.715625925210373,0.0
48,2063.0,0.0,0.0,2.716480407384232,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,60.0,8.215625925210373,0.0
49,2064.0,0.0,0.0,2.966480407384232,0.0,0.02479458372739074,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,60.0,8.715625925210373,0.0
50,2065.0,0.0,1.2444624532891528,3.216480407384232,0.0,0.013188058583259261,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,60.0,9.215625925210373,0.0
51,2066.0,0.0,1.9002005213734086,3.466480407384232,0.0,0.006025549838042916,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,60.0,9.24224873210665,0.0
52,2067.0,0.0,2.5792732429515612,3.716480407384232,0.0,0.006025549838042917,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,0.0,60.0,9.24224873210665,0.0
53,2068.0,0.0,3.4653388883723175,3.966480407384232,0.0,0.006025549838042917,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,2.4032833655688965,60.0,9.24224873210665,0.0
54,2069.0,0.0,3.5801042870084987,4.216480407384232,0.0,0.006025549838042917,0.009608,0.18212,12.463899999999999,0.0,3.057273829867426,0.833549462182399,4.9904425821479315,60.0,9.24224873210665,0.0
55,2070.0,0.0,3.615689504041393,4.466480407384232,0.0,0.006025549838042917,0.009608,0.18212,12.463899999999999,0.0,2.9083289186458146,0.7842061391891821,7.990442582147931,60.0,9.24224873210665,0.0
