,y,CO2
0,2015,10.436
1,2016,11.1506
2,2017,12.534
3,2018,13.9174
4,2019,15.3008
5,2020,16.6841
6,2021,17.3688
7,2022,18.1221
8,2023,18.9582
9,2024,19.8951
10,2025,21.3051
11,2026,22.5027
12,2027,23.8865
13,2028,25.5004
14,2029,27.3996
15,2030,29.6534
16,2031,27.1638
17,2032,25.061
18,2033,23.2684
19,2034,21.7258
20,2035,20.6195
21,2036,19.4529
22,2037,18.4176
23,2038,17.4921
24,2039,16.667
25,2040,16.055
26,2041,15.5442
27,2042,15.1758
28,2043,14.7636
29,2044,13.6946
30,2045,12.872
31,2046,11.7348
32,2047,10.764
33,2048,10.0388
34,2049,9.4849
35,2050,9.2001
36,2051,8.4692
37,2052,7.8667
38,2053,7.3119
39,2054,6.7477
40,2055,6.1028
41,2056,5.7143
42,2057,5.3637
43,2058,5.0508
44,2059,4.7345
45,2060,4.4065
46,2061,4.1339
47,2062,3.7364
48,2063,3.4146
49,2064,3.4725
50,2065,4.7727
51,2066,5.9067
52,2067,7.1156
53,2068,7.9194
54,2069,8.059
55,2070,8.0638
