,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Biomass,Geothermal,power_trade
0,2015.0,0.0,10.88,0.0,38.21,0.07,0.0,3.42,0.0,-5.58
1,2016.0,0.0,13.63,0.0,38.21,0.07,0.0,3.42,0.0,-3.51
2,2017.0,0.0,10.89,0.0,40.83,0.08,0.0,3.42,0.0,-3.24
3,2018.0,0.0,10.88,0.0,40.83,0.08,0.0,3.42,0.0,-3.46
4,2019.0,0.0,10.88,0.0,40.83,0.08,0.0,3.42,0.0,-3.65
5,2020.0,0.0,10.88,0.0,40.83,0.08,0.0,3.42,0.0,-3.9
6,2021.0,0.0,45.88,28.86,40.83,0.07,0.0,3.25,0.0,-61.2
7,2022.0,0.0,46.84,28.86,40.83,0.07,0.0,3.08,0.0,-58.51
8,2023.0,0.0,21.06,28.86,40.83,0.07,0.0,2.91,0.0,-29.98
9,2024.0,0.0,8.73,28.86,51.62,0.07,0.0,2.74,2.68,-27.35
10,2025.0,0.0,8.19,28.86,64.04,0.06,0.0,1.71,5.36,-35.94
11,2026.0,0.0,7.63,0.0,64.04,0.06,0.0,1.54,8.04,-6.11
12,2027.0,0.0,7.08,0.0,64.04,0.06,0.0,1.37,10.72,-3.29
13,2028.0,0.0,6.53,0.0,73.39,0.06,0.0,1.2,10.72,-6.6
14,2029.0,0.0,5.98,2.14,73.39,0.05,0.0,1.03,10.72,-2.76
15,2030.0,0.0,5.45,0.0,103.6,2.32,0.0,0.86,10.72,-25.62
16,2031.0,0.0,4.91,0.0,103.6,6.86,0.0,0.68,10.72,-21.85
17,2032.0,0.0,4.36,0.0,103.6,14.81,0.0,0.51,10.72,-21.27
18,2033.0,0.0,3.8,0.0,103.6,23.63,0.0,0.34,10.72,-21.12
19,2034.0,0.0,3.27,5.09,103.6,32.96,0.0,0.17,10.72,-25.82
20,2035.0,0.0,2.73,15.78,103.6,32.94,0.0,0.0,10.72,-36.45
21,2036.0,16.29,2.18,27.29,103.6,39.91,0.0,0.0,10.72,-61.57
22,2037.0,62.57,1.63,28.86,103.6,48.53,0.0,0.0,10.72,-107.08
23,2038.0,98.9,1.09,28.86,103.6,57.69,0.0,0.0,10.72,-141.65
24,2039.0,136.28,0.55,28.86,103.6,67.44,0.0,0.0,10.72,-177.2
25,2040.0,136.28,0.0,28.44,103.6,77.81,0.0,0.0,10.72,-176.83
26,2041.0,136.28,0.0,27.98,103.6,90.84,0.0,0.0,10.72,-177.05
27,2042.0,136.28,0.0,27.82,103.21,104.84,0.0,0.0,10.72,-177.2
28,2043.0,136.28,0.0,27.3,103.21,119.88,0.0,0.0,10.72,-177.41
29,2044.0,136.28,0.0,26.71,102.99,136.04,0.0,0.0,10.72,-177.39
30,2045.0,141.38,0.0,25.3,102.99,148.86,0.0,0.0,10.72,-176.92
31,2046.0,152.22,0.0,24.98,98.95,160.02,0.0,0.0,10.72,-176.11
32,2047.0,162.79,0.0,22.68,98.95,171.9,0.0,0.0,10.72,-176.35
33,2048.0,173.75,0.0,13.58,98.95,192.51,0.06,0.0,10.72,-178.17
34,2049.0,181.38,0.0,11.01,98.95,209.24,0.06,0.0,10.72,-177.24
35,2050.0,196.14,0.0,15.95,98.95,213.14,0.06,0.0,10.72,-175.0
36,2051.0,197.58,0.0,0.0,98.95,219.34,13.57,0.0,10.72,-165.76
37,2052.0,203.16,0.0,0.0,98.95,227.26,14.59,0.0,10.72,-164.92
38,2053.0,204.77,0.0,9.36,98.95,237.6,16.38,0.0,10.72,-171.81
39,2054.0,204.66,0.0,13.04,98.95,246.31,20.95,0.0,10.72,-171.96
40,2055.0,199.14,0.0,13.25,98.95,268.63,20.95,0.0,10.72,-172.8
41,2056.0,196.96,0.0,14.25,98.95,283.97,23.02,0.0,10.72,-171.52
42,2057.0,197.89,0.0,17.97,98.95,297.24,23.02,0.0,10.72,-170.93
43,2058.0,197.45,0.0,18.93,98.95,310.15,26.29,0.0,10.72,-168.31
44,2059.0,193.12,0.0,19.12,98.95,333.16,26.67,0.0,10.72,-167.32
45,2060.0,190.29,0.0,19.68,98.95,354.64,26.67,0.0,10.72,-165.37
46,2061.0,187.83,0.0,19.98,98.95,370.78,26.67,0.0,10.72,-164.24
47,2062.0,185.41,0.0,20.34,98.95,387.11,26.67,0.0,10.72,-162.92
48,2063.0,183.55,0.0,20.77,98.95,403.48,26.67,0.0,10.72,-161.71
49,2064.0,182.41,0.0,21.16,97.71,420.84,26.67,0.0,10.72,-160.31
50,2065.0,181.24,0.0,21.55,96.46,438.36,26.67,0.0,10.72,-158.88
51,2066.0,167.8,0.0,21.7,98.04,465.7,24.05,0.0,10.72,-154.8
52,2067.0,160.69,0.0,20.89,96.2,494.09,24.31,0.0,9.73,-154.75
53,2068.0,160.73,0.0,20.74,98.46,509.23,23.53,0.0,10.72,-153.04
54,2069.0,157.99,0.0,20.46,97.18,531.38,23.53,0.0,10.72,-151.43
55,2070.0,150.73,0.0,18.15,97.93,560.86,23.91,0.0,10.72,-153.36
