,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Geothermal
0,2015.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0
1,2016.0,0.0,0.011,0.0,0.0,0.001,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.32,0.001,0.0,0.0
3,2021.0,0.0,0.0,1.082,0.0,0.0,0.0,0.0
4,2024.0,0.0,0.0,0.0,0.36,0.0,0.0,0.1
5,2025.0,0.0,0.0,0.0,0.42,0.0,0.0,0.1
6,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
7,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
8,2028.0,0.0,0.0,0.0,0.312,0.0,0.0,0.0
9,2030.0,0.0,0.0,0.0,1.165,0.25,0.0,0.0
10,2031.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
11,2032.0,0.0,0.0,0.0,0.0,1.076,0.0,0.0
12,2033.0,0.0,0.0,0.0,0.0,1.223,0.0,0.0
13,2034.0,0.0,0.0,0.0,0.0,1.308,0.0,0.0
14,2036.0,0.611,0.0,0.0,0.0,0.911,0.0,0.0
15,2037.0,1.735,0.0,0.0,0.0,1.19,0.0,0.0
16,2038.0,1.362,0.0,0.0,0.0,1.281,0.0,0.0
17,2039.0,1.401,0.0,0.0,0.0,1.38,0.0,0.0
18,2040.0,0.0,0.0,0.0,0.0,1.484,0.0,0.0
19,2041.0,0.0,0.0,0.0,0.0,1.933,0.0,0.0
20,2042.0,0.0,0.0,0.0,0.0,2.096,0.0,0.0
21,2043.0,0.0,0.0,0.0,0.0,2.272,0.0,0.0
22,2044.0,0.0,0.0,0.0,0.0,2.462,0.0,0.0
23,2045.0,0.191,0.0,0.0,0.0,1.897,0.0,0.0
24,2046.0,0.406,0.0,0.0,0.0,1.617,0.0,0.0
25,2047.0,0.396,0.0,0.0,0.0,1.74,0.0,0.0
26,2048.0,0.411,0.0,0.0,0.0,3.211,0.008,0.0
27,2049.0,0.286,0.0,0.0,0.0,2.557,0.0,0.1
28,2050.0,0.553,0.0,0.0,0.0,0.775,0.0,0.1
29,2051.0,0.054,0.0,0.0,0.0,1.546,1.924,0.1
30,2052.0,0.209,0.0,0.0,0.0,2.413,0.145,0.1
31,2053.0,0.06,0.0,0.756,0.0,2.969,0.258,0.0
32,2054.0,0.0,0.0,0.225,0.0,2.777,0.658,0.0
33,2055.0,0.0,0.0,0.079,0.0,3.5,0.0,0.0
34,2056.0,0.0,0.0,0.0,0.0,3.5,0.299,0.0
35,2057.0,0.0,0.0,0.22,0.0,3.5,0.0,0.0
36,2058.0,0.0,0.0,0.002,0.0,3.5,0.494,0.0
37,2059.0,0.0,0.0,0.0,0.0,5.274,0.06,0.0
38,2060.0,0.0,0.0,0.0,0.0,5.085,0.0,0.0
39,2061.0,0.0,0.0,0.0,0.0,4.66,0.0,0.0
40,2062.0,0.0,0.0,0.0,0.0,4.823,0.0,0.0
41,2063.0,0.025,0.0,0.006,0.0,4.967,0.0,0.0
42,2064.0,0.0,0.0,0.0,0.0,5.388,0.0,0.0
43,2065.0,0.0,0.0,0.0,0.0,4.853,0.0,0.0
44,2066.0,0.154,0.0,0.006,0.0,6.5,0.0,0.0
45,2067.0,1.624,0.0,0.0,0.0,6.5,0.0,0.0
46,2068.0,1.431,0.0,0.0,0.0,6.5,0.0,0.0
47,2069.0,1.397,0.0,0.006,0.0,6.5,0.0,0.0
48,2070.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
