,y,Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link
0,2015.0,-3.1846,-2.4048
1,2016.0,0.0,-3.5097
2,2017.0,-9.2265,5.9918
3,2018.0,-6.6081,3.1483999999999996
4,2019.0,2.3356,-5.9918
5,2020.0,-1.229,-2.6655
6,2021.0,-59.7605,-1.4392
7,2022.0,-57.5185,-0.9870000000000001
8,2023.0,-35.9708,5.9918
9,2024.0,-27.3524,0.0
10,2025.0,-39.6791,3.7449
11,2026.0,-8.2552,2.1523
12,2027.0,-7.0293,3.7449
13,2028.0,-10.3369,3.7449
14,2029.0,-6.4952,3.7449
15,2030.0,-29.2608,3.6444
16,2031.0,-23.3537,1.4979999999999998
17,2032.0,-22.7654,1.4979999999999998
18,2033.0,-22.6172,1.4979999999999998
19,2034.0,-27.3209,1.4979999999999998
20,2035.0,-39.0921,2.6417
21,2036.0,-66.4432,4.8701
22,2037.0,-111.0708,3.9945000000000004
23,2038.0,-144.1635,2.5083
24,2039.0,-179.2217,2.0239
25,2040.0,-179.7042,2.8741000000000003
26,2041.0,-179.7552,2.7121000000000004
27,2042.0,-179.5452,2.3464
28,2043.0,-179.7552,2.3464
29,2044.0,-179.591,2.2034
30,2045.0,-179.7535,2.8329999999999997
31,2046.0,-178.8479,2.7443
32,2047.0,-178.7598,2.4148000000000005
33,2048.0,-179.7552,1.5885
34,2049.0,-179.7552,2.5209
35,2050.0,-179.7552,4.7563
36,2051.0,-170.5152,4.7563
37,2052.0,-169.4691,4.5481
38,2053.0,-176.482,4.6728000000000005
39,2054.0,-176.0321,4.0710999999999995
40,2055.0,-176.5278,3.7264
41,2056.0,-175.2543,3.7264
42,2057.0,-174.655,3.7264
43,2058.0,-172.3248,4.0127
44,2059.0,-171.0502,3.7264
45,2060.0,-169.1555,3.7877
46,2061.0,-167.9729,3.7264
47,2062.0,-166.6532,3.7264
48,2063.0,-165.437,3.7264
49,2064.0,-164.0418,3.7264
50,2065.0,-162.6074,3.7264
51,2066.0,-157.9696,3.1724000000000006
52,2067.0,-157.3716,2.6184000000000003
53,2068.0,-156.2066,3.1724000000000006
54,2069.0,-155.1603,3.7264
55,2070.0,-157.1779,3.8182
