,y,Dagash FPV,Dal FPV,Jebel Aulia FPV,Kajbar FPV,Kashm El Girba  FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Upper Atbara FPV
0,2048.0,0.0,0.008067352473049356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2049.0,0.0,0.008067352473049356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050.0,0.0,0.008067352473049356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2051.0,0.312,0.6480000000000193,0.0,0.36,0.0,0.3120000000000105,0.0,0.0,0.2999251854987331,0.0
4,2052.0,0.312,0.6480000000000193,0.0,0.36,0.0,0.3120000000000105,0.025233926790639977,0.0,0.42,0.0
5,2053.0,0.312,0.6480000000000193,0.0,0.36,0.0,0.3120000000000105,0.2832876259360533,0.0,0.42,0.0
6,2054.0,0.312,0.6480000000000193,0.0,0.36,0.0,0.3120000000000105,0.9412838504816591,0.0,0.42,0.0
7,2055.0,0.312,0.6480000000000193,0.0,0.36,0.0,0.3120000000000105,0.9412838504816591,0.0,0.42,0.0
8,2056.0,0.312,0.6480000000000193,0.0,0.36,0.0,0.3120000000000105,1.2400000000000293,0.0,0.42,0.0
9,2057.0,0.312,0.6480000000000193,0.0,0.36,0.0,0.3120000000000105,1.2400000000000293,0.0,0.42,0.0
10,2058.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.2598083604297494
11,2059.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
12,2060.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
13,2061.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
14,2062.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
15,2063.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
16,2064.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
17,2065.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
18,2066.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
19,2067.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
20,2068.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
21,2069.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
22,2070.0,0.312,0.6480000000000193,0.019,0.36,0.01,0.3120000000000105,1.2400000000000293,0.205,0.42,0.32
