,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Biomass,Geothermal
0,2015.0,0.0,2.256,0.0,1.565,0.011,0.0,0.238,0.0
1,2016.0,0.0,2.267,0.0,1.565,0.012,0.0,0.238,0.0
2,2017.0,0.0,2.267,0.0,1.885,0.013,0.0,0.238,0.0
3,2018.0,0.0,2.267,0.0,1.885,0.013,0.0,0.238,0.0
4,2019.0,0.0,2.267,0.0,1.885,0.013,0.0,0.238,0.0
5,2020.0,0.0,2.267,0.0,1.885,0.013,0.0,0.238,0.0
6,2021.0,0.0,2.155,1.082,1.885,0.012,0.0,0.226,0.0
7,2022.0,0.0,2.041,1.082,1.885,0.012,0.0,0.214,0.0
8,2023.0,0.0,1.929,1.082,1.885,0.011,0.0,0.202,0.0
9,2024.0,0.0,1.816,1.082,2.245,0.011,0.0,0.19,0.1
10,2025.0,0.0,1.703,1.082,2.665,0.011,0.0,0.119,0.2
11,2026.0,0.0,1.58,1.082,2.665,0.01,0.0,0.107,0.3
12,2027.0,0.0,1.466,1.082,2.665,0.01,0.0,0.095,0.4
13,2028.0,0.0,1.354,1.082,2.977,0.009,0.0,0.083,0.4
14,2029.0,0.0,1.241,1.082,2.977,0.009,0.0,0.071,0.4
15,2030.0,0.0,1.128,1.082,4.142,0.259,0.0,0.06,0.4
16,2031.0,0.0,1.015,1.082,4.142,0.758,0.0,0.048,0.4
17,2032.0,0.0,0.902,1.082,4.142,1.834,0.0,0.036,0.4
18,2033.0,0.0,0.79,1.082,4.142,3.056,0.0,0.024,0.4
19,2034.0,0.0,0.677,1.082,4.142,4.364,0.0,0.012,0.4
20,2035.0,0.0,0.564,1.082,4.142,4.361,0.0,0.0,0.4
21,2036.0,0.611,0.451,1.082,4.142,5.271,0.0,0.0,0.4
22,2037.0,2.345,0.339,1.082,4.142,6.459,0.0,0.0,0.4
23,2038.0,3.707,0.225,1.082,4.142,7.74,0.0,0.0,0.4
24,2039.0,5.108,0.113,1.082,4.142,9.119,0.0,0.0,0.4
25,2040.0,5.108,0.0,1.082,4.142,10.603,0.0,0.0,0.4
26,2041.0,5.108,0.0,1.082,4.142,12.536,0.0,0.0,0.4
27,2042.0,5.108,0.0,1.082,4.116,14.632,0.0,0.0,0.4
28,2043.0,5.108,0.0,1.082,4.116,16.904,0.0,0.0,0.4
29,2044.0,5.108,0.0,1.082,4.106,19.366,0.0,0.0,0.4
30,2045.0,5.299,0.0,1.082,4.106,21.263,0.0,0.0,0.4
31,2046.0,5.706,0.0,1.082,3.836,22.88,0.0,0.0,0.4
32,2047.0,6.102,0.0,1.082,3.836,24.62,0.0,0.0,0.4
33,2048.0,6.513,0.0,1.082,3.836,27.831,0.008,0.0,0.4
34,2049.0,6.799,0.0,1.082,3.836,30.389,0.008,0.0,0.4
35,2050.0,7.352,0.0,1.082,3.836,30.914,0.008,0.0,0.4
36,2051.0,7.406,0.0,0.0,3.836,31.959,1.932,0.0,0.4
37,2052.0,7.615,0.0,0.0,3.836,33.296,2.077,0.0,0.4
38,2053.0,7.675,0.0,0.756,3.836,35.042,2.335,0.0,0.4
39,2054.0,7.675,0.0,0.981,3.836,36.511,2.993,0.0,0.4
40,2055.0,7.675,0.0,1.06,3.836,40.011,2.993,0.0,0.4
41,2056.0,7.675,0.0,1.06,3.836,42.6,3.292,0.0,0.4
42,2057.0,7.675,0.0,1.28,3.836,44.91,3.292,0.0,0.4
43,2058.0,7.675,0.0,1.282,3.836,47.129,3.786,0.0,0.4
44,2059.0,7.675,0.0,1.282,3.836,51.023,3.846,0.0,0.4
45,2060.0,7.675,0.0,1.282,3.836,54.624,3.846,0.0,0.4
46,2061.0,7.675,0.0,1.282,3.836,57.351,3.846,0.0,0.4
47,2062.0,7.675,0.0,1.282,3.836,60.078,3.846,0.0,0.4
48,2063.0,7.7,0.0,1.288,3.836,62.773,3.846,0.0,0.4
49,2064.0,7.7,0.0,1.288,3.836,65.699,3.846,0.0,0.4
50,2065.0,7.7,0.0,1.288,3.836,68.655,3.846,0.0,0.4
51,2066.0,7.243,0.0,1.294,3.836,73.538,3.846,0.0,0.4
52,2067.0,7.132,0.0,1.294,3.836,78.298,3.846,0.0,0.4
53,2068.0,7.201,0.0,1.294,3.836,81.587,3.846,0.0,0.4
54,2069.0,7.198,0.0,1.301,3.836,85.53,3.846,0.0,0.4
55,2070.0,7.198,0.0,1.301,3.836,91.255,3.846,0.0,0.4
