,y,Dagash FPV,Dal FPV,Jebel Aulia FPV,Kajbar FPV,Kashm El Girba  FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Upper Atbara FPV
0,2048.0,0.0,0.0568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2049.0,0.0,0.0568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050.0,0.0,0.0568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2051.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,0.0,0.0,2.0893,0.0
4,2052.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,0.1752,0.0,2.9257,0.0
5,2053.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,1.9672,0.0,2.9257,0.0
6,2054.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,6.5365,0.0,2.9257,0.0
7,2055.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,6.5365,0.0,2.9257,0.0
8,2056.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,0.0,2.9257,0.0
9,2057.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,0.0,2.9257,0.0
10,2058.0,2.1835,4.5653,0.1258,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,1.6652
11,2059.0,2.1835,4.5653,0.1258,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,2.051
12,2060.0,2.1835,4.5653,0.1258,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,2.051
13,2061.0,2.1835,4.5653,0.1258,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,2.051
14,2062.0,2.1835,4.5653,0.1258,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,2.051
15,2063.0,2.1835,4.5653,0.1258,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,2.051
16,2064.0,2.1835,4.5653,0.1258,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,2.051
17,2065.0,2.1835,4.5653,0.1258,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,2.051
18,2066.0,2.1835,4.5653,0.1025,2.072,0.0539,2.1957,7.0995,1.1478,2.9257,1.699
19,2067.0,1.8132,4.5653,0.1025,2.072,0.0539,1.8161,8.6109,1.1478,2.4281,1.699
20,2068.0,1.8132,4.5653,0.1025,2.072,0.0539,2.1957,7.0995,1.1478,2.4281,2.051
21,2069.0,1.8132,4.5653,0.1025,2.072,0.0539,2.1957,7.0995,1.1478,2.4281,2.051
22,2070.0,2.1835,3.7959,0.1025,2.072,0.0539,1.8161,8.6109,1.1478,2.4281,1.699
