"TECHNOLOGY","VALUE"
"EGBACKSTOP","1.0"
"EGWA00000X","100.0"
"EGLF00P00X","100.0"
"EGHF00P00X","100.0"
"EGCR00P00X","100.0"
"EGNG00P00X","100.0"
"EGBM00I00X","100.0"
"EGBM00X00X","35.0"
"EGCO00I00X","100.0"
"EGCO00X00X","35.0"
"EGLF00I00X","100.0"
"EGHF00I00X","100.0"
"EGCR00I00X","100.0"
"EGCR00X00X","35.0"
"EGCRUDPROX","35.0"
"EGCRUDRE1X","35.0"
"EGCRUDRE2X","35.0"
"EGNG00ILGX","25.0"
"EGNG00ELGX","25.0"
"EGNG00X00X","35.0"
"EGSOLAR00X","100.0"
"EGWIND000X","100.0"
"EGUR00I00X","100.0"
"EGUR00X00X","50.0"
"EGCH00I00X","100.0"
"EGETHANOLX","100.0"
"EGBMCHC01N","40.0"
"EGBMCHC02N","40.0"
"EGBMCHC03N","40.0"
"EGBMCHC04N","40.0"
"EGBMCHP01O","40.0"
"EGBMCHP02O","40.0"
"EGBMCHP03O","40.0"
"EGBMCHP04O","40.0"
"EGBMCHP01N","40.0"
"EGBMCHP02N","40.0"
"EGBMCHP03N","40.0"
"EGBMCHP04N","40.0"
"EGCOSCP01O","30.0"
"EGCOSCP02O","30.0"
"EGCOSCP03O","30.0"
"EGCOSCP04O","30.0"
"EGCOSCP01N","30.0"
"EGCOSCP02N","30.0"
"EGCOSCP03N","30.0"
"EGCOSCP04N","30.0"
"EGCOSCC01N","30.0"
"EGCOSCC02N","30.0"
"EGCOSCC03N","30.0"
"EGCOSCC04N","30.0"
"EGLFRCP01O","25.0"
"EGLFRCP02O","25.0"
"EGLFRCP03O","25.0"
"EGLFRCP04O","25.0"
"EGLFRCP01N","25.0"
"EGLFRCP02N","25.0"
"EGLFRCP03N","25.0"
"EGLFRCP04N","25.0"
"EGNGCCP01O","30.0"
"EGNGCCP02O","30.0"
"EGNGCCP03O","30.0"
"EGNGCCP04O","30.0"
"EGNGCCP01N","30.0"
"EGNGCCP02N","30.0"
"EGNGCCP03N","30.0"
"EGNGCCP04N","30.0"
"EGNGCCC01N","30.0"
"EGNGCCC02N","30.0"
"EGNGCCC03N","30.0"
"EGNGCCC04N","30.0"
"EGNGGCP01O","25.0"
"EGNGGCP02O","25.0"
"EGNGGCP03O","25.0"
"EGNGGCP04O","25.0"
"EGNGGCP01N","25.0"
"EGNGGCP02N","25.0"
"EGNGGCP03N","25.0"
"EGNGGCP04N","25.0"
"EGHFGCP01O","25.0"
"EGHFGCP02O","25.0"
"EGHFGCP03O","25.0"
"EGHFGCP04O","25.0"
"EGHFGCP01N","25.0"
"EGHFGCP02N","25.0"
"EGHFGCP03N","25.0"
"EGHFGCP04N","25.0"
"EGHYDMS03X","80.0"
"EGHYDMS02X","80.0"
"EGHYDMS01X","80.0"
"EGWINDP00X","25.0"
"EGWINDP01X","25.0"
"EGNULWP04O","60.0"
"EGNULWP04N","60.0"
"EGGOCVP02O","25.0"
"EGGOCVP02N","25.0"
"EGNPCHA00X","35.0"
"EGBIOFUELX","35.0"
"EGHE00T00X","70.0"
"EGEL00T00X","70.0"
"EGEL00TDTX","70.0"
"EGLFRCFURX","10.0"
"EGSOU1P03X","25.0"
"EGSOV1F01X","20.0"
