,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Dal FPV,Dagash FPV,Jebel Aulia FPV,Kajbar FPV,Mograt FPV,Merowe FPV,Roseires FPV,Sabaloka FPV,Sennar FPV,Shereik FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
16,2031.0,0.6843,0.0,-44.601,0.7715999999999998,10.7222,0.8794,3.2577,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,3.0506,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.6951,0.0677,0.0,0.0,0.0579,1.1631,0.0,3.9643,0.0,0.0,0.0,1.3469,0.0,0.0488,0.0
17,2032.0,0.5132,0.0,-38.1024,2.8277,10.7222,0.7817,2.8957,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,3.0506,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.6179,0.0602,2.1018,0.0,0.0579,1.1631,0.6071,3.9643,0.0,0.0,0.0,1.3469,0.0,0.0464,0.0
18,2033.0,0.3421,0.0,-38.2963,4.8838,10.7222,0.6839,2.5338,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,3.0506,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.5407,0.0527,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.0,0.6439,0.0741,1.3469,0.0,3.2025,4.5396
19,2034.0,0.1711,0.0,-38.3854,3.9254999999999995,10.7222,0.5862,2.1718,18.4556,9.3473,0.5123,8.1111,0.8964,34.9958,0.2586,3.0506,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.4634,0.0452,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,10.2138,9.0792
20,2035.0,0.0,0.0,-57.3586,3.1083,10.7222,0.4885,1.8098,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,20.712,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.3862,0.0376,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,10.1936,9.4756
21,2036.0,0.0,0.0,-56.9724,1.8981000000000001,10.7222,0.3908,1.4479,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.3089,0.0301,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,16.6867,14.0152
22,2037.0,0.0,0.0,-56.7352,1.5544,10.7222,0.2931,1.0859,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.2317,0.0226,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,24.0287,18.5548
23,2038.0,0.0,0.0,-57.4114,2.1299,10.7222,0.1954,0.7239,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.1545,0.0151,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,32.2855,23.0944
24,2039.0,0.0,0.0,-54.7483,-0.3549,10.7222,0.0977,0.362,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0772,0.0075,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,41.1716,27.6341
25,2040.0,0.0,0.0,-52.6269,-1.1694,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.7525,0.6439,0.0741,1.3469,0.0,50.06,32.1737
