,y,Dal FPV,Dagash FPV,Jebel Aulia FPV,Kajbar FPV,Mograt FPV,Merowe FPV,Roseires FPV,Sabaloka FPV,Sennar FPV,Shereik FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704,0.0
8,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0
9,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656,0.0
10,2025.0,0.0,0.0,0.0579,0.0,0.0,3.9643,0.0,0.0,0.0,0.0,0.0,0.0632,0.0
11,2026.0,0.0,0.0,0.0579,1.1631,0.0,3.9643,0.0,0.0,0.0,0.0,0.0,0.0608,0.0
12,2027.0,0.0,0.0,0.0579,1.1631,0.0,3.9643,0.0,0.0,0.0,1.3469,0.0,0.0584,0.0
13,2028.0,0.0,0.0,0.0579,1.1631,0.0,3.9643,0.0,0.0,0.0,1.3469,0.0,0.056,0.0
14,2029.0,0.0,0.0,0.0579,1.1631,0.0,3.9643,0.0,0.0,0.0,1.3469,0.0,0.0536,0.0
15,2030.0,0.0,0.0,0.0579,1.1631,0.0,3.9643,0.0,0.0,0.0,1.3469,0.0,0.0512,0.0
16,2031.0,0.0,0.0,0.0579,1.1631,0.0,3.9643,0.0,0.0,0.0,1.3469,0.0,0.0488,0.0
17,2032.0,2.1018,0.0,0.0579,1.1631,0.6071,3.9643,0.0,0.0,0.0,1.3469,0.0,0.0464,0.0
