,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,Backstop,power_trade,gas_trade
0,2015.0,0.0,10.88,0.0,45.41,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,-8.94,0.0
1,2016.0,0.0,10.9,0.0,50.34,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,-8.94,0.0
2,2017.0,0.0,10.88,0.0,50.2,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,-8.94,0.0
3,2018.0,0.0,10.88,0.0,50.71,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,-9.59,0.0
4,2019.0,0.0,10.88,0.0,47.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,-6.08,0.0
5,2020.0,0.0,10.88,0.0,47.5,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,-6.71,0.0
6,2021.0,0.0,29.6,0.0,79.69,0.0,0.0,0.07,0.0,0.0,3.25,0.0,0.0,-54.57,0.0
7,2022.0,0.0,28.13,0.0,85.81,0.0,0.0,0.07,0.0,0.0,3.08,0.0,0.0,-54.98,0.0
8,2023.0,0.0,32.68,0.0,85.81,0.0,0.0,0.07,0.0,0.0,2.91,0.0,0.0,-55.04,0.0
9,2024.0,0.0,24.17,0.0,93.92,0.0,0.0,0.07,0.0,0.0,2.74,2.68,0.0,-52.63,0.0
10,2025.0,0.0,16.7,0.0,103.22,0.0,0.0,0.06,4.02,0.0,1.71,5.36,0.0,-55.04,0.0
11,2026.0,0.0,7.63,0.0,103.22,0.0,0.0,0.06,5.18,0.0,1.54,8.04,0.0,-44.86,0.0
12,2027.0,0.0,7.08,0.0,103.22,0.0,0.0,0.06,6.53,0.0,1.37,10.72,0.0,-42.6,0.0
13,2028.0,0.0,6.53,0.0,112.57,0.0,0.0,0.06,6.53,0.0,1.2,10.72,0.0,-45.06,0.0
14,2029.0,0.0,5.98,0.0,112.57,0.0,0.0,0.05,6.53,0.0,1.03,10.72,0.0,-38.15,0.0
15,2030.0,0.0,5.45,0.0,137.14,0.0,0.0,0.05,6.53,0.0,0.86,10.72,0.0,-54.28,0.0
16,2031.0,0.0,4.91,0.0,137.14,0.0,0.0,0.05,6.53,0.0,0.68,10.72,0.0,-43.83,0.0
17,2032.0,0.0,4.36,0.0,137.14,0.0,0.0,0.05,9.24,0.0,0.51,10.72,0.0,-35.27,0.0
18,2033.0,0.0,3.8,0.0,137.14,0.0,0.0,7.74,11.36,0.0,0.34,10.72,0.0,-33.42,0.0
19,2034.0,0.0,3.27,0.0,138.04,0.0,0.0,19.29,12.11,0.0,0.17,10.72,0.0,-34.46,0.0
20,2035.0,0.0,2.73,0.0,159.5,0.0,0.0,19.67,12.11,0.0,0.0,10.72,0.0,-54.25,0.0
21,2036.0,0.0,2.18,0.0,160.23,0.0,0.0,30.71,12.11,0.0,0.0,10.72,0.0,-55.07,0.0
22,2037.0,0.0,1.63,0.0,160.23,0.0,0.0,42.58,12.11,0.0,0.0,10.72,0.0,-55.19,0.0
23,2038.0,0.0,1.09,0.0,160.23,0.0,0.0,55.38,12.11,0.0,0.0,10.72,0.0,-55.28,0.0
24,2039.0,0.0,0.55,0.0,160.23,0.0,0.0,68.8,12.11,0.0,0.0,10.72,0.0,-55.1,0.0
25,2040.0,0.0,0.0,0.0,160.23,0.0,0.0,82.23,12.11,0.0,0.0,10.72,0.0,-53.8,0.0
26,2041.0,0.0,0.0,0.0,160.23,0.0,0.0,94.99,12.11,0.0,0.0,10.72,0.0,-54.43,0.0
27,2042.0,0.0,0.0,0.0,160.23,0.0,0.0,108.5,12.11,0.0,0.0,10.72,0.0,-55.08,0.0
28,2043.0,0.0,0.0,0.0,160.23,0.0,0.0,122.83,12.11,0.0,0.0,10.72,0.0,-55.78,0.0
29,2044.0,0.0,0.0,0.0,160.23,0.0,0.0,138.01,12.11,0.0,0.0,10.72,0.0,-56.49,0.0
30,2045.0,0.0,0.0,0.0,160.23,0.0,0.0,154.11,12.11,0.0,0.0,10.72,0.0,-57.2,0.0
31,2046.0,0.0,0.0,0.0,160.23,0.0,0.0,167.02,12.11,0.0,0.0,10.72,0.0,-53.72,0.0
32,2047.0,23.33,0.0,0.0,160.23,0.0,0.0,183.12,12.11,0.0,0.0,10.72,0.0,-74.69,0.0
33,2048.0,113.29,0.0,0.0,160.23,0.0,0.0,205.44,12.11,0.0,0.0,10.72,0.0,-164.29,0.0
34,2049.0,115.16,0.0,0.0,160.23,0.0,0.0,216.17,12.11,0.0,0.0,10.72,0.0,-157.01,0.0
35,2050.0,115.16,0.0,0.0,160.23,0.0,0.0,231.99,12.11,0.0,0.0,10.72,0.0,-152.0,0.0
36,2051.0,115.16,0.0,0.0,160.23,0.0,0.0,242.54,12.11,0.0,0.0,10.72,0.0,-149.22,0.0
37,2052.0,115.16,0.0,0.0,160.23,0.0,0.0,253.47,12.11,0.0,0.0,10.72,0.0,-146.33,0.0
38,2053.0,115.16,0.0,0.0,160.23,0.0,0.0,264.59,12.11,0.0,0.0,10.72,0.0,-142.93,0.0
39,2054.0,115.16,0.0,0.0,160.23,0.0,0.0,276.37,12.11,0.0,0.0,10.72,0.0,-139.76,0.0
40,2055.0,112.7,0.0,0.0,160.23,0.0,0.0,296.28,12.11,0.0,0.0,10.72,0.0,-142.28,0.0
41,2056.0,113.42,0.0,0.0,160.23,0.0,0.0,307.31,12.11,0.0,0.0,10.72,0.0,-137.98,0.0
42,2057.0,114.54,0.0,0.0,160.23,0.0,0.0,317.7,12.11,0.0,0.0,10.72,0.0,-132.8,0.0
43,2058.0,111.98,0.0,0.0,160.23,0.0,0.0,336.56,12.11,0.0,0.0,10.72,0.0,-131.47,0.0
44,2059.0,105.9,0.0,0.0,160.23,0.0,0.0,363.58,12.11,0.0,0.0,10.72,0.0,-133.82,0.0
45,2060.0,104.35,0.0,0.0,160.23,0.0,0.0,380.97,12.11,0.0,0.0,10.72,0.0,-130.68,0.0
46,2061.0,103.38,0.0,0.0,160.23,0.0,0.0,393.66,12.11,0.0,0.0,10.72,0.0,-128.65,0.0
47,2062.0,104.42,0.0,0.0,160.23,0.0,0.0,402.43,12.11,0.0,0.0,10.72,0.0,-124.36,0.0
48,2063.0,105.71,0.0,0.0,160.23,0.0,0.0,410.56,12.11,0.0,0.0,10.72,0.0,-119.3,0.0
49,2064.0,106.09,0.0,0.0,159.45,0.0,0.0,422.58,12.11,0.0,0.0,10.72,0.0,-115.86,0.0
50,2065.0,103.15,0.0,0.0,156.41,0.0,0.0,447.11,12.11,0.0,0.0,10.72,0.0,-118.56,0.0
51,2066.0,97.57,0.0,0.0,154.79,0.0,0.0,474.31,10.7,0.0,0.0,10.72,0.0,-121.14,0.0
52,2067.0,93.59,0.0,0.0,153.56,0.0,0.0,496.49,11.3,0.0,0.0,10.72,0.0,-122.13,0.0
53,2068.0,92.59,0.0,0.0,153.56,0.0,0.0,513.09,11.3,0.0,0.0,10.72,0.0,-120.2,0.0
54,2069.0,91.27,0.0,0.0,153.56,0.0,0.0,529.6,11.3,0.0,0.0,10.72,0.0,-118.51,0.0
55,2070.0,91.77,0.0,0.0,153.56,0.0,0.0,543.34,11.3,0.0,0.0,10.72,0.0,-114.99,0.0
