,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage
10,2025.0,0.11904,0.0,0.2,0.30375,1.1252895,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.0288,1.53,0.27,0.0,0.026,0.42,0.007194479765945623,0.2401125,0.0234,0.058882350988176485,0.0,0.0,0.010669999999999999,0.0
11,2026.0,0.107136,0.0,0.30000000000000004,0.2835,1.0502702,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.0288,1.53,0.27,0.0,0.026,0.42,0.0,0.224105,0.02184,0.058882350988176485,0.0,0.0,0.010265,0.0
12,2027.0,0.095232,0.0,0.4000000000000001,0.26325,0.9752509,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.0288,1.53,0.27,0.0,0.026,0.42,0.0,0.2080975,0.02028,0.058882350988176485,0.0,0.0,0.00986,0.0
13,2028.0,0.083328,0.0,0.4000000000000001,0.243,0.9002316,0.0,0.312,0.019,0.36,0.0,1.24,0.0328,0.0288,1.53,0.27,0.0,0.026,0.42,0.0,0.19209,0.01872,0.058882350988176485,0.0,0.0,0.009455,0.0
14,2029.0,0.071424,0.0,0.4000000000000001,0.22275,0.8252123,0.0,0.312,0.019,0.36,0.0,1.24,0.0328,0.0288,1.53,0.27,0.0,0.026,0.42,0.0,0.1760825,0.01716,0.058882350988176485,0.0,0.0,0.009049999999999999,0.0
15,2030.0,0.05952,0.0,0.4000000000000001,0.2025,0.750193,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.0288,1.53,0.27,0.205,0.026,0.42,0.0,0.160075,0.0156,0.058882350988176485,0.0,0.0,0.008645,0.0
16,2031.0,0.047616,0.0,0.4000000000000001,0.18225,0.6751737,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.0288,1.53,0.27,0.205,0.026,0.42,0.0,0.1440675,0.01404,0.058882350988176485,0.0,0.0,0.00824,0.0
17,2032.0,0.035712,0.0,0.4000000000000001,0.162,0.6001544,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.0288,1.53,0.27,0.205,0.026,0.42,0.0,0.12806,0.01248,0.058882350988176485,0.0,0.0,0.047793775475316484,0.0
18,2033.0,0.023808,0.0,0.4000000000000001,0.14175,0.5251351,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.0288,1.53,0.27,0.205,0.026,0.42,0.0,0.1120525,0.01092,0.058882350988176485,0.0,0.0,0.9157424201255212,0.5
19,2034.0,0.011904,0.0,0.4000000000000001,0.1215,0.4501158,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,0.0288,1.8948973877343036,0.27,0.205,0.026,0.42,0.0,0.096045,0.00936,0.058882350988176485,0.0,0.0,2.163263706149342,1.0
