,y,Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik
44,2059.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,26.9633,44.9388,6.0501,6.1113,0.4209,9.2977
45,2060.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,26.9633,44.9388,6.0501,6.1113,0.4209,9.2977
46,2061.0,18.4556,9.3473,0.4838,8.1111,4.497,34.9958,0.2347,26.9633,44.9388,6.0501,5.8472,0.4165,9.2977
47,2062.0,18.4556,9.3473,0.5123,8.1111,4.497,34.9958,0.2347,26.2318,44.9388,6.0501,5.8472,0.4209,9.2481
48,2063.0,18.3922,8.9294,0.5123,8.1111,4.7043,34.9958,0.2347,25.758,44.9388,5.5812,6.1113,0.4209,9.2481
49,2064.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,25.758,44.7721,5.5812,5.8472,0.4165,9.2481
50,2065.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,25.758,42.93,5.5812,5.8472,0.4165,9.2481
51,2066.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,25.758,42.93,5.5812,5.8472,0.4165,9.2481
52,2067.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,25.758,42.93,5.5812,5.8472,0.4165,9.2481
53,2068.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,25.758,42.93,5.5812,5.8472,0.4165,9.2481
54,2069.0,17.8964,8.9294,0.4832,8.0132,4.4919,33.2218,0.2105,25.758,41.4666,5.5812,5.8472,0.3809,9.2481
55,2070.0,17.8964,8.9294,0.4832,8.0132,4.497,33.2218,0.2105,25.758,42.93,5.5812,5.8472,0.3809,9.2481
