,y,"Coal imports (inland transport, maritime freight)"
0,2048.0,155.088
1,2049.0,167.9557
2,2050.0,167.9557
3,2051.0,167.9557
4,2052.0,167.9557
5,2053.0,166.1683
6,2054.0,167.9557
7,2055.0,167.9557
8,2056.0,167.9557
9,2057.0,167.9557
10,2058.0,167.9557
11,2059.0,159.0937
12,2060.0,164.4558
13,2061.0,163.8058
14,2062.0,163.139
15,2063.0,162.4551
16,2064.0,153.9443
17,2065.0,146.4018
18,2066.0,144.3041
19,2067.0,144.9912
20,2068.0,145.6958
21,2069.0,141.6099
22,2070.0,141.8137
