,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
0,2015.0,0.1962,0.0,0.0,0.0085,0.0,0.003008,0.18212,2.1798,0.0,0.141634,0.0,0.0,0.00916,0.001,0.0,0.32218
1,2016.0,0.1962,0.0,0.0,0.0085,0.0,0.009608,0.18212,2.1798,0.0,0.141634,0.0,0.0,0.00916,0.003,0.0,0.32218
2,2017.0,0.1962,0.0,0.0,0.0085,0.0,0.009608,0.18212,4.0498,0.0,0.141634,0.0,0.0,0.00916,0.004,0.0,0.32218
3,2018.0,0.1962,0.0,0.0,0.0085,0.0,0.009608,0.18212,4.0498,0.0,0.141634,0.0,0.0,0.00916,0.004,0.0,0.32218
4,2019.0,0.1962,0.0,0.0,0.0085,0.0,0.009608,0.18212,4.3039,0.0,0.141634,0.0,0.0,0.00916,0.004,0.0,0.32218
5,2020.0,0.1962,0.0,0.12,0.0085,0.0,0.009608,0.18212,5.0539,0.0,0.141634,0.0,0.0,0.008702,0.004,0.0,0.32218
6,2021.0,0.18639,0.0,0.29000000000000004,0.0085,0.0,0.009608,0.18212,6.1339,0.0,0.1345523,0.0,0.0,0.008244,0.004,0.0,0.313621
7,2022.0,0.17658,0.0,0.39,0.0085,0.0,0.009608,0.18212,7.2139,0.0,0.1274706,0.0,0.0,0.007786,0.004,0.0,0.305062
8,2023.0,0.16677,0.0,0.5900000000000001,0.0085,0.0,0.009608,0.18212,9.8389,0.0,0.1203889,0.0,0.0,0.007328,0.004,0.0,0.29650299999999996
9,2024.0,0.15696,0.0,0.8400000000000001,0.0085,0.0,0.009608,0.18212,12.463899999999999,0.0,0.1133072,0.0,0.0,0.00687,0.004,0.0,0.287944
10,2025.0,0.0981,0.0,1.04,0.0085,0.0,0.009608,0.18212,12.463899999999999,0.0,0.1062255,0.0,0.0,0.006412,0.004,0.0,0.279385
11,2026.0,0.08829,0.0,1.04,0.008075,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0991438,0.0,0.0,0.005954,0.004,0.0,0.270826
12,2027.0,0.07848,0.0,1.04,0.00765,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0920621,0.0,0.0,0.005496,0.004,0.0,0.26226700000000003
13,2028.0,0.06867,0.0,1.04,0.007225,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0849804,0.0,0.0,0.005038,0.004,0.0,0.253708
14,2029.0,0.05886,0.0,1.04,0.0068,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0778987,0.0,0.0,0.00458,0.004,0.0,0.245149
15,2030.0,0.04905,0.0,1.04,0.006375,0.0,0.009608,0.18212,12.463899999999999,0.0,0.070817,0.0,0.0,0.004122,0.004,0.0,0.23659
16,2031.0,0.03924,0.0,1.04,0.00595,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0637353,0.0,0.0,0.003664,0.004,0.0,0.22803099999999998
17,2032.0,0.02943,0.0,1.04,0.005525,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0566536,0.0,0.0,0.003206,0.004,0.0,0.219472
18,2033.0,0.01962,0.0,1.04,0.0051,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0495719,0.0,0.0,0.002748,0.004,0.0,0.210913
19,2034.0,0.00981,0.0,1.04,0.004675,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0424902,0.0,0.0,0.00229,0.004,0.0,0.20235399999999998
20,2035.0,0.0,0.0,1.04,0.00425,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0354085,0.0,0.0,0.001832,0.003,0.0,0.193795
21,2036.0,0.0,0.0,1.04,0.003825,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0283268,0.0,0.0,0.001374,0.001,0.0,0.185236
