,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
22,2037.0,0.0,0.0,1.04,0.0034,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0212451,0.0,0.0,0.000916,0.0,0.0,0.176677
23,2038.0,0.0,0.0,1.04,0.002975,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0141634,0.6235658441430177,0.0,0.000458,0.0,0.0,0.168118
24,2039.0,0.0,0.0,1.04,0.00255,0.0,0.009608,0.18212,12.463899999999999,0.0,0.00708170000000001,1.4432515725711474,0.0,0.0,0.0,0.0,0.159559
25,2040.0,0.0,0.0,1.04,0.002125,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,2.3734137439048384,0.0,0.0,0.0,0.0,0.0
26,2041.0,0.0,0.0,1.04,0.0017,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0197954450961824,0.0014491358706942897,0.0,0.2895115311162521,0.0,0.0
27,2042.0,0.0,0.0,1.04,0.001275,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.05204270263835671,0.0,2.767897491824542,0.0,0.0
28,2043.0,0.0,0.0,1.04,0.00085,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.061602794365721664,0.0,5.58409070555976,0.0,0.0
29,2044.0,0.0,0.0,1.04,0.000425000000000001,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.1316524921801112,0.0,8.57146512419954,0.0,0.0
30,2045.0,0.0,0.0,0.9923628090383345,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.2042674940301233,0.0,11.57146512419954,0.0,0.0
31,2046.0,0.0,0.0,1.0723628090383344,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.2042674940301233,0.0,14.57146512419954,0.4290324540626201,0.0
32,2047.0,0.0,0.0,1.2223628090383343,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.2042674940301233,0.0,17.571465124199538,0.92903245406262,0.0
33,2048.0,0.0,0.0,1.2723628090383343,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.5190129607385355,0.0,20.571465124199538,1.42903245406262,0.0
34,2049.0,0.0,0.0,1.2723628090383343,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.5190129607385355,0.0,23.571465124199538,1.92903245406262,0.0
35,2050.0,0.0,0.10729683006803814,1.3223628090383344,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,26.571465124199538,2.4290324540626202,0.0
36,2051.0,0.0,0.10729683006803814,1.3223628090383344,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,29.571465124199538,2.5133259252188664,0.0
37,2052.0,0.0,0.10729683006803814,1.3223628090383344,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,32.57146512419954,2.6714541776427865,0.0
38,2053.0,0.0,0.10729683006803814,1.3223628090383344,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,35.571465124199534,2.9055765508255638,0.0
39,2054.0,0.0,0.10729683006803814,1.3223628090383344,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,38.57146512419954,3.2178143267539365,0.0
40,2055.0,0.0,0.10729683006803814,1.3223628090383344,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,41.57146512419954,3.6104095216460674,0.0
41,2056.0,0.0,0.10729683006803814,1.3223628090383344,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,44.57146512419954,4.110409521646067,0.0
42,2057.0,0.0,0.10729683006803814,1.3368103477800197,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,47.57146512419954,4.6104095216460665,0.0
43,2058.0,0.0,0.10729683006803814,1.4979499271319707,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,50.57146512419954,5.1104095216460665,0.0
44,2059.0,0.0,0.10729683006803814,1.7479499271319707,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,53.57146512419954,5.6104095216460665,0.0
45,2060.0,0.0,0.10729683006803814,1.9979499271319707,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,56.57146512419954,6.1104095216460665,0.0
46,2061.0,0.0,0.10729683006803814,2.247949927131971,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,59.28195359308329,6.6104095216460665,0.0
47,2062.0,0.0,0.31542460140474154,2.497949927131971,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,59.803567632375,7.1104095216460665,0.0
48,2063.0,0.0,0.6438824191361165,2.747949927131971,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,59.98737441863978,7.6104095216460665,0.0
49,2064.0,0.0,1.6459475734509743,2.997949927131971,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,60.0,8.110409521646067,0.0
50,2065.0,0.0,2.0285586734845253,3.247949927131971,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6615628665751534,0.0,60.0,8.610409521646067,0.0
51,2066.0,0.0,2.602236768857227,3.497949927131971,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6601137307044591,0.0,60.0,8.681377067583448,0.0
52,2067.0,0.0,3.221880683724653,3.747949927131971,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,3.0211704344436026,0.6095201639367966,0.0,60.0,8.681377067583448,0.0
53,2068.0,0.0,3.2339792815906834,3.997949927131971,0.0,0.0,0.009608,0.18212,12.463899999999999,0.0,0.0,2.397604590300585,0.5999600722094316,0.0,60.0,8.681377067583448,1.8878977090424063
54,2069.0,0.0,3.3756006439803277,4.2479499271319705,0.0,0.007841812532158038,0.009608,0.18212,12.463899999999999,0.17565660072064426,0.0,1.5779188618724553,0.5299103743950422,0.0,60.0,8.681377067583448,3.4396225257773847
55,2070.0,0.0,3.609180451249481,4.425587118093636,0.0,0.0434515571158412,0.009608,0.18212,12.463899999999999,0.9733148793953135,0.0,0.6477566905387644,0.45729537254503005,1.3101791845614719,60.0,8.681377067583448,3.9843827309931577
