,y,Natural gas extraction
0,2021.0,3.25
1,2022.0,3.25
2,2023.0,3.25
3,2024.0,3.25
4,2025.0,3.25
5,2026.0,3.25
6,2027.0,3.25
7,2028.0,3.25
8,2029.0,3.25
9,2030.0,3.25
10,2031.0,3.25
11,2032.0,3.25
12,2033.0,3.25
13,2038.0,11.4829
14,2039.0,25.6434
15,2040.0,42.6694
16,2041.0,53.5515
17,2042.0,52.4449
18,2043.0,50.2274
19,2044.0,48.2941
20,2045.0,47.824
21,2046.0,42.807
22,2047.0,37.3794
23,2048.0,36.9514
24,2049.0,36.8451
25,2050.0,36.9095
26,2051.0,34.9301
27,2052.0,32.9177
28,2053.0,30.8713
29,2054.0,28.79
30,2055.0,28.0777
31,2056.0,27.2531
32,2057.0,26.6287
33,2058.0,24.9178
34,2059.0,22.7033
35,2060.0,20.8631
36,2061.0,16.7694
37,2062.0,16.6345
38,2063.0,16.3513
39,2064.0,10.5642
40,2065.0,10.5277
41,2066.0,10.3912
42,2067.0,10.2366
43,2068.0,8.977
44,2069.0,7.029
45,2070.0,2.8036
