,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (new),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
0,2015.0,1.0453,0.0,5.3927,0.0,-5.9918,0.0,0.2144,0.0,0.0089,1.0769,31.0783,0.0,0.0,0.6834,0.0,0.0,0.0591,0.0065,0.0,3.3286
1,2016.0,1.1369,0.0,5.3927,0.0,-5.2101,0.0,0.2144,0.0,0.0284,1.0769,32.1833,0.0,0.0,0.6834,0.0,0.0,0.0591,0.0194,0.0,3.3286
2,2017.0,0.0,0.0,5.3927,0.0,-5.9918,0.0,0.2144,0.0,0.0,0.0,43.8078,0.0,0.0,0.6834,0.0,0.0,0.0591,0.0258,0.0,3.3286
3,2018.0,0.0,0.0,5.3927,0.0,-5.9918,0.0,0.2144,0.0,0.0,0.2714,52.0517,0.0,0.0,0.6834,0.0,0.0,0.0591,0.0258,0.0,3.3286
4,2019.0,0.0,0.0,5.0781,57.9861,-5.9918,0.0,0.2144,0.0,0.0,0.0,5.1852,0.0,0.0,0.6834,0.0,0.0,0.0276,0.0258,0.0,1.2904
5,2020.0,0.0,0.0,5.2465,59.9184,-5.9918,3.2167,0.2144,0.0,0.0,0.0,7.8347,0.0,0.0,0.6834,0.0,0.0,0.0262,0.0258,0.0,1.7378
6,2021.0,0.0,0.0,5.2151,59.9184,-5.9918,7.7736,0.2144,0.0,0.0,0.0,8.5493,0.0,0.0,0.6492,0.0,0.0,0.0248,0.0258,0.0,1.6705
7,2022.0,0.0,0.0,5.3927,59.9184,-5.9918,10.4542,0.2144,0.0,0.0,0.0472,10.4274,0.0,0.0,0.615,0.0,0.0,0.0367,0.0258,0.0,2.4052
8,2023.0,0.0,0.0,5.3927,59.9184,-5.9918,15.8153,0.2144,0.0,0.0,0.0,11.2189,0.0,0.0,0.5809,0.0,0.0,0.0346,0.0258,0.0,2.2142
9,2024.0,0.0,0.0,5.2491,59.9184,-5.9918,22.5167,0.2144,0.0,0.0,0.0,11.4931,0.0,0.0,0.5467,0.0,0.0,0.0262,0.0258,0.0,1.7097
10,2025.0,0.0,0.0,5.3002,59.9184,-5.9918,27.8778,0.2144,0.0,0.0,0.0,12.7407,0.0,0.0,0.5125,0.0,0.0,0.0245,0.0258,0.0,1.8045
11,2026.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.2037,0.0,0.0,2.7281,16.0669,0.0,0.0,0.4784,0.0,0.0,0.0384,0.0258,0.0,2.798
12,2027.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.193,0.0,0.0,2.7281,23.798,0.0,0.0,0.4442,0.0,0.0,0.0355,0.0258,0.0,2.7096
13,2028.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.1823,0.0,0.0,2.7281,32.0446,0.0,0.0,0.41,0.0,0.0,0.0325,0.0258,0.0,2.6212
14,2029.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.1716,0.0,0.0,2.7281,40.8376,0.0,0.0,0.3759,0.0,0.0,0.0296,0.0258,0.0,2.5327
15,2030.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.1608,0.0,0.0,2.7281,50.2108,0.0,0.0,0.3417,0.0,0.0,0.0266,0.0258,0.0,2.4443
16,2031.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.1501,0.0,0.0,2.7281,60.8773,0.0,0.0,0.3075,0.0,0.0,0.0237,0.0258,0.0,2.3559
17,2032.0,0.0,0.0,5.3927,59.9184,-5.9918,27.8778,0.1394,0.0,0.0,2.7281,72.3375,0.0,0.0,0.2734,0.0,0.0,0.0207,0.0258,0.0,2.2675
