,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Wind,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
8,2023.0,0.0,204.03,4919.28,8388.14,0.0,0.32,0.06,0.03,0.0,0.23,96.21,60.82,1.37
9,2024.0,0.0,192.03,5262.96,8388.14,0.0,0.32,0.07,0.03,460.27,0.23,96.47,61.24,1.38
10,2025.0,1917.77,180.02,5095.7,8388.14,0.0,0.32,0.09,0.03,436.17,2.76,96.74,61.67,1.23
11,2026.0,1243.36,168.02,5252.33,8388.14,0.0,0.32,0.1,0.04,522.17,1.87,97.03,62.09,1.31
12,2027.0,0.0,156.01,5621.75,8388.14,0.0,0.32,0.11,0.04,608.16,0.0,92.25,58.21,1.43
13,2028.0,0.0,144.0,5543.06,8388.14,0.0,0.32,0.12,0.04,694.15,0.0,83.07,50.58,1.44
14,2029.0,0.0,132.01,5540.0,8388.14,0.0,0.32,0.13,0.05,780.14,0.0,73.9,42.94,1.46
15,2030.0,0.0,120.0,5228.54,8388.14,0.0,0.32,0.16,0.05,866.13,0.0,58.09,29.66,1.47
16,2031.0,0.0,108.0,5397.6,8388.14,0.0,0.32,0.2,0.06,952.12,0.0,22.46,0.0,1.48
17,2032.0,445.79,96.0,5211.26,8388.14,0.0,0.32,0.22,0.06,1038.11,0.0,0.0,0.0,1.43
18,2033.0,1689.8,84.0,4967.71,8388.14,0.0,0.32,0.24,0.07,1124.1,0.0,0.0,0.0,1.32
19,2034.0,1834.54,72.0,4970.59,8388.14,0.0,0.32,0.27,0.08,1102.09,0.0,0.0,0.0,1.29
20,2035.0,1212.26,60.0,5212.43,8388.14,0.0,0.32,0.3,0.08,1080.07,0.0,0.0,0.0,1.33
21,2036.0,688.41,48.0,5385.39,8388.14,0.0,0.32,0.33,0.09,1080.07,0.0,0.0,0.0,1.36
22,2037.0,748.29,36.0,5141.83,8388.14,0.0,0.32,0.36,0.1,1080.07,0.0,0.0,0.0,1.33
23,2038.0,843.19,24.0,4866.95,8388.14,0.0,0.32,0.38,0.1,1080.07,0.0,0.0,0.0,1.31
24,2039.0,960.79,12.0,4571.73,8388.14,0.0,0.32,0.4,0.11,1080.07,0.0,0.0,0.0,1.28
25,2040.0,596.96,0.0,5110.16,8388.14,0.0,0.32,0.43,0.11,1080.07,0.0,0.0,0.0,1.29
26,2041.0,591.12,0.0,4938.44,8388.14,0.01,0.32,0.47,0.13,1188.08,0.0,0.0,0.0,1.29
27,2042.0,920.44,0.0,4174.47,8388.14,0.01,0.32,0.5,0.15,1296.08,0.0,0.0,0.0,1.27
28,2043.0,793.36,0.0,4089.52,8388.14,0.01,0.32,0.54,0.17,1350.09,0.0,0.0,0.0,1.28
29,2044.0,634.44,0.0,3974.98,8388.14,0.01,0.32,0.58,0.2,1350.09,0.0,0.0,0.0,0.88
30,2045.0,601.69,0.0,3822.66,8388.14,0.01,0.32,0.61,0.22,1350.09,0.0,0.0,0.0,0.77
31,2046.0,538.53,0.0,3795.46,8388.14,0.01,0.0,0.64,0.23,1350.09,0.0,0.0,0.0,0.8
32,2047.0,133.09,0.0,3861.69,8388.14,0.01,0.0,0.67,0.24,1350.09,0.0,0.0,0.0,0.83
33,2048.0,1149.87,0.0,3438.95,8388.14,0.01,0.05,0.69,0.27,1350.09,0.0,0.0,0.0,0.81
34,2049.0,946.68,0.0,3378.16,8388.14,0.01,0.05,0.71,0.28,1350.09,0.0,0.0,0.0,0.33
35,2050.0,746.41,0.0,3208.02,8388.14,0.01,0.36,0.75,0.3,1350.09,0.0,0.0,0.0,0.02
36,2051.0,680.27,0.0,3112.35,8388.14,0.01,0.89,0.77,0.32,1458.09,0.0,0.0,0.0,0.0
37,2052.0,629.81,0.0,3029.11,8388.14,0.01,1.42,0.8,0.34,1566.1,0.0,0.0,0.0,0.0
