,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass
8,2023.0,0.0,5.956,45.179,2.832,0.0,0.8,1.24,0.135,2.196,0.0
9,2024.0,0.0,5.878,43.778,2.832,0.0,0.8,1.49,0.135,2.419,0.766
10,2025.0,3.0,5.549,42.379,2.832,0.0,0.8,2.04,0.906,2.641,0.616
11,2026.0,6.0,5.222,40.98,2.832,0.0,0.8,2.246,0.906,2.864,0.674
12,2027.0,6.0,4.893,39.578,2.832,0.0,0.8,2.405,0.906,3.086,0.733
13,2028.0,6.0,4.564,38.178,2.832,0.0,0.8,2.655,0.906,3.309,0.791
14,2029.0,6.0,4.236,36.778,2.832,0.0,0.8,2.905,0.906,3.531,0.85
15,2030.0,6.0,3.906,35.378,2.832,0.0,0.8,3.655,0.906,3.754,0.908
16,2031.0,6.0,3.578,33.978,2.832,0.0,0.8,4.255,0.906,4.226,0.966
17,2032.0,6.0,3.5,32.578,2.832,0.0,0.8,4.855,0.906,4.698,1.025
18,2033.0,6.0,3.421,31.179,2.832,0.0,0.8,5.455,0.906,5.171,1.083
19,2034.0,6.0,3.343,31.025,2.832,0.0,0.8,6.055,0.906,5.643,1.042
20,2035.0,6.0,3.264,32.08,2.832,0.0,0.8,6.655,1.206,6.116,1.0
21,2036.0,6.0,3.185,32.787,2.832,0.0,0.8,7.255,1.585,6.588,1.0
22,2037.0,6.0,3.107,31.386,2.832,0.0,0.8,7.855,1.885,7.061,1.0
23,2038.0,6.0,3.029,29.987,2.832,0.5,0.8,8.455,2.185,7.533,1.0
24,2039.0,6.0,2.951,28.586,2.832,1.0,0.8,9.055,2.485,8.006,1.0
25,2040.0,6.0,1.522,25.237,2.832,1.5,0.8,9.645,2.65,8.238,1.0
26,2041.0,6.0,0.0,25.223,2.832,2.0,0.8,10.465,2.65,9.538,1.1
27,2042.0,6.0,0.0,25.981,2.832,2.5,0.8,11.315,2.65,11.038,1.2
28,2043.0,6.0,0.0,25.405,2.832,2.5,0.8,12.115,2.65,12.198,1.25
29,2044.0,6.0,0.0,26.858,2.832,2.5,0.8,12.965,2.65,13.698,1.25
30,2045.0,6.0,0.0,27.876,2.832,2.5,0.8,13.715,2.65,15.198,1.25
31,2046.0,6.0,0.0,29.774,2.832,2.5,0.0,14.315,2.65,16.448,1.25
32,2047.0,6.0,0.0,33.37,2.832,2.5,0.0,14.915,2.65,17.5,1.25
33,2048.0,6.0,0.0,28.154,2.832,2.5,0.134,15.515,2.65,18.75,1.25
34,2049.0,6.0,0.0,30.48,2.832,2.5,0.134,16.115,2.65,20.0,1.25
35,2050.0,6.0,0.0,31.974,2.832,2.5,1.017,16.715,2.65,21.25,1.25
36,2051.0,6.0,0.0,32.083,2.832,3.0,2.517,17.359,2.65,22.5,1.35
37,2052.0,6.0,0.0,32.133,2.832,3.5,4.017,18.05,2.65,23.75,1.45
38,2053.0,6.0,0.0,32.796,2.832,3.5,5.817,18.65,2.65,25.0,1.5
39,2054.0,6.0,0.0,32.796,2.832,3.5,8.8,19.25,2.65,26.25,1.6
40,2055.0,3.0,0.0,33.517,2.832,3.5,10.5,19.85,2.65,27.5,1.7
41,2056.0,0.0,0.0,34.519,2.832,3.5,12.2,20.2,2.65,28.5,1.8
42,2057.0,0.0,0.0,35.717,2.832,3.5,13.9,20.55,2.65,29.5,1.9
43,2058.0,0.0,0.0,36.958,2.832,3.5,15.6,20.9,2.65,30.5,2.0
44,2059.0,0.0,0.0,39.1,2.832,3.5,16.0,21.25,2.65,31.5,2.1
45,2060.0,0.0,0.0,41.218,2.832,3.5,16.4,21.6,2.65,32.5,2.2
46,2061.0,0.0,0.0,43.034,2.832,3.5,16.8,22.2,2.65,34.0,2.3
47,2062.0,0.0,0.0,44.88,2.832,3.5,17.2,22.8,2.65,35.5,2.4
48,2063.0,0.0,0.0,47.747,2.832,3.5,17.6,23.4,2.65,37.0,2.5
49,2064.0,0.0,0.0,50.017,2.832,3.5,18.0,24.0,2.65,38.5,2.6
50,2065.0,0.0,0.0,51.195,2.832,3.5,18.4,24.6,2.65,40.0,2.7
51,2066.0,0.0,0.0,54.381,2.832,3.5,18.8,24.95,2.65,40.5,2.8
52,2067.0,0.0,0.0,54.381,2.832,3.5,19.2,25.3,2.65,41.0,2.9
53,2068.0,0.0,0.0,54.381,2.832,3.5,19.6,25.65,2.65,41.5,3.0
54,2069.0,0.0,0.0,56.06,2.832,3.5,20.0,26.0,2.65,42.0,3.0
55,2070.0,0.0,0.0,58.8,2.832,3.5,20.4,26.35,2.65,42.5,3.0
