,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,power_trade
8,2023.0,0.0,6.44,458.0,67.09,0.0,11.72,8.74,0.94,27.6,0.0,34.36
9,2024.0,0.0,6.06,516.46,67.09,0.0,11.72,10.41,0.94,30.39,12.5,-32.19
10,2025.0,67.33,5.68,505.98,67.09,0.0,11.72,14.56,6.34,33.18,11.85,-89.84
11,2026.0,43.65,5.3,556.06,67.09,0.0,11.72,15.94,6.34,35.97,14.18,-116.24
12,2027.0,0.0,4.92,624.83,67.09,0.0,11.72,17.0,6.34,38.76,16.51,-141.09
13,2028.0,0.0,4.55,621.49,67.09,0.0,11.72,18.67,6.34,41.55,18.84,-138.08
14,2029.0,0.0,4.53,626.13,67.09,0.0,11.72,20.34,6.34,44.34,21.19,-143.47
15,2030.0,0.0,4.25,598.19,67.09,0.0,11.72,26.14,6.34,47.13,23.52,-120.66
16,2031.0,0.0,3.4,621.0,67.09,0.0,11.72,30.29,6.34,53.06,25.85,-120.36
17,2032.0,15.65,3.02,606.29,67.09,0.0,11.72,34.46,6.34,58.98,28.19,-98.77
18,2033.0,59.33,2.65,585.54,67.09,0.0,11.72,38.62,6.34,64.91,30.53,-99.24
19,2034.0,64.41,2.28,598.02,67.09,0.0,11.72,42.78,6.34,70.83,29.93,-91.51
20,2035.0,42.56,1.9,642.73,67.09,0.0,11.72,46.94,8.44,76.76,29.33,-91.27
21,2036.0,24.17,1.53,678.17,67.09,0.0,11.72,51.1,11.09,82.69,29.33,-86.41
22,2037.0,26.27,1.13,657.41,67.09,0.0,11.72,55.26,13.2,88.61,29.33,-45.38
23,2038.0,29.6,0.76,633.35,67.09,13.4,11.72,59.43,15.3,94.54,29.33,-15.74
24,2039.0,33.73,0.37,607.13,67.09,26.81,11.72,63.59,17.4,100.46,29.33,15.17
25,2040.0,20.96,0.0,617.0,67.09,40.21,11.72,67.69,18.55,103.38,29.33,30.86
26,2041.0,20.75,0.0,618.72,67.09,53.61,11.72,73.31,18.55,119.91,32.26,30.86
27,2042.0,32.32,0.0,605.87,67.09,67.01,11.72,79.15,18.55,138.93,35.19,30.86
28,2043.0,27.85,0.0,628.42,67.09,67.01,11.72,84.64,18.55,153.7,36.66,30.86
29,2044.0,22.27,0.0,648.93,67.09,67.01,11.72,90.47,18.55,172.74,36.66,30.82
30,2045.0,21.12,0.0,665.49,67.09,67.01,11.72,95.65,18.55,191.77,36.66,30.86
31,2046.0,18.91,0.0,698.95,67.09,67.01,0.0,99.8,18.55,207.67,36.66,30.86
32,2047.0,4.67,0.0,735.16,67.09,67.01,0.0,103.96,18.55,221.02,36.66,30.86
33,2048.0,40.37,0.0,711.86,67.09,67.01,1.74,108.13,18.55,236.92,36.66,35.84
34,2049.0,33.24,0.0,742.47,67.09,67.01,1.74,112.28,18.55,252.81,36.66,31.82
35,2050.0,26.2,0.0,758.2,67.09,67.01,13.2,116.45,18.55,268.71,36.66,30.86
36,2051.0,23.88,0.0,747.98,67.09,80.42,32.68,120.9,18.55,284.6,39.59,30.32
37,2052.0,22.11,0.0,737.99,67.09,93.82,52.15,125.67,18.55,300.5,42.53,30.03
38,2053.0,18.94,0.0,741.58,67.09,93.82,76.52,129.84,18.55,316.4,43.99,29.53
39,2054.0,14.64,0.0,728.25,67.09,93.82,120.27,134.0,18.55,332.3,45.57,28.98
40,2055.0,10.7,0.0,732.71,67.09,93.82,147.37,138.16,18.55,348.2,47.16,28.4
41,2056.0,0.0,0.0,745.82,67.09,93.82,174.45,140.65,18.55,360.95,48.74,32.0
42,2057.0,0.0,0.0,757.16,67.09,93.82,201.55,143.14,18.55,373.72,50.32,28.59
43,2058.0,0.0,0.0,768.23,67.09,93.82,228.65,145.63,18.55,386.47,51.91,27.05
44,2059.0,0.0,0.0,802.05,67.09,93.82,234.51,148.14,18.55,399.24,53.49,25.55
45,2060.0,0.0,0.0,837.02,67.09,93.82,240.37,150.63,18.55,412.0,55.08,24.59
46,2061.0,0.0,0.0,865.76,67.09,93.82,246.23,154.8,18.55,431.11,56.66,23.61
47,2062.0,0.0,0.0,896.43,67.09,93.82,252.1,158.95,18.55,450.21,58.24,22.49
48,2063.0,0.0,0.0,929.01,67.09,93.82,257.96,163.11,18.55,469.32,59.83,21.34
49,2064.0,0.0,0.0,965.2,67.09,93.82,263.82,167.28,18.55,488.42,61.41,18.51
50,2065.0,0.0,0.0,999.06,67.09,93.82,269.69,171.43,18.55,507.53,62.99,19.92
51,2066.0,0.0,0.0,1051.22,67.09,93.82,275.55,173.93,18.55,513.87,64.58,19.58
52,2067.0,0.0,0.0,1074.05,67.09,93.82,281.41,176.43,18.55,520.22,66.16,49.42
53,2068.0,0.0,0.0,1052.07,67.09,93.82,287.27,178.92,18.55,526.56,67.75,124.84
54,2069.0,0.0,0.0,1007.85,67.09,93.82,293.13,181.42,18.55,532.9,67.75,225.09
55,2070.0,0.0,0.0,968.62,67.09,93.82,299.0,183.91,18.55,539.25,67.75,326.54
