,y,Egypt - Turkey Historic and Planned NG trade link,Israel - Egypt Planned NG trade link,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
8,2023.0,-780.3338,0.0,-279.4637,0.0,2594.7965
9,2024.0,-780.3338,0.0,-221.3103,0.0,2621.9873
10,2025.0,-780.3338,0.0,-0.0,0.0,2339.0111
11,2026.0,-780.3338,0.0,-46.9775,0.0,2475.2761
12,2027.0,-780.3338,0.0,-145.3677,0.0,2704.8905
13,2028.0,-780.3338,0.0,-179.5105,0.0,2734.5716
14,2029.0,-780.3338,0.0,-199.3012,0.0,2761.1414
15,2030.0,-780.3338,0.0,-270.1878,0.0,2791.6847
16,2031.0,-780.3338,0.0,-245.2761,0.0,2795.5817
17,2032.0,-780.3338,0.0,-202.8566,0.0,2714.1767
18,2033.0,-780.3338,0.0,-59.519,0.0,2503.6354
19,2034.0,-780.3338,0.0,-0.0,0.0,2447.6847
20,2035.0,-780.3338,0.0,-0.0,0.0,2515.7519
21,2036.0,-780.3338,0.0,-0.0,0.0,2567.8637
22,2037.0,-780.3338,0.0,-0.0,0.0,2525.5362
23,2038.0,-780.3338,0.0,-0.0,0.0,2477.5129
24,2039.0,-780.3338,0.0,-0.0,0.0,2425.7884
25,2040.0,-780.3338,0.0,-0.0,0.0,2451.8968
26,2041.0,-780.3338,0.0,-0.0,0.0,2442.7579
27,2042.0,-780.3338,0.0,-0.0,0.0,2399.1569
28,2043.0,-780.3338,0.0,-0.0,0.0,2430.0135
29,2044.0,0.0,0.0,-0.0,0.0,1669.1837
30,2045.0,0.0,227.2817,-0.0,0.0,1464.234
31,2046.0,0.0,227.2817,-0.0,0.0,1516.2394
32,2047.0,0.0,227.2817,-0.0,0.0,1566.6646
33,2048.0,0.0,227.2817,-0.0,0.0,1533.4747
34,2049.0,0.0,227.2817,-0.0,949.9293,628.3464
35,2050.0,0.0,227.2817,-0.0,1564.4257,30.4033
36,2051.0,0.0,227.2817,-0.0,1564.4257,0.0
37,2052.0,0.0,227.2817,-0.0,1534.4455,0.0
38,2053.0,0.0,227.2817,-0.0,1529.0688,0.0
39,2054.0,0.0,227.2817,-0.0,1493.9292,0.0
40,2055.0,0.0,227.2817,-0.0,1490.4582,0.0
41,2056.0,0.0,227.2817,-0.0,1502.5348,0.0
42,2057.0,0.0,227.2817,-0.0,1510.701,0.0
43,2058.0,0.0,227.2817,-0.0,1519.6518,0.0
44,2059.0,0.0,227.2817,-0.0,1567.5695,0.0
45,2060.0,0.0,227.2817,-0.0,1616.4629,0.0
46,2061.0,0.0,227.2817,-0.0,1655.0241,0.0
47,2062.0,0.0,227.2817,-0.0,1696.5206,0.0
48,2063.0,0.0,227.2817,-0.0,1740.8698,0.0
49,2064.0,0.0,227.2817,-0.0,1791.0001,0.0
50,2065.0,0.0,227.2817,-0.0,1836.7211,0.0
51,2066.0,0.0,227.2817,-0.0,1913.1873,0.0
52,2067.0,0.0,227.2817,-0.0,1939.3395,0.0
53,2068.0,0.0,227.2817,-0.0,1889.4879,0.0
54,2069.0,0.0,227.2817,-0.0,1802.5218,0.0
55,2070.0,0.0,227.2817,-0.0,1724.5463,0.0
