,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Wind,Biomass,Coal Production,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2023.0,0.0,2.08,65.81,8388.14,0.32,0.06,0.01,0.0,0.23,96.21,60.82,1.37
1,2024.0,0.0,1.96,70.08,8388.14,0.32,0.07,0.01,3.95,0.22,96.47,61.24,1.38
2,2025.0,8.04,1.84,67.77,8388.14,0.32,0.09,0.01,3.74,2.73,96.74,61.67,1.23
3,2026.0,5.21,1.71,69.72,8388.14,0.32,0.1,0.01,4.48,1.85,97.03,62.09,1.31
4,2027.0,0.0,1.58,75.65,8388.14,0.32,0.11,0.01,5.21,0.0,92.25,58.21,1.43
5,2028.0,0.0,1.46,74.21,8388.14,0.32,0.12,0.01,5.95,0.0,83.07,50.58,1.44
6,2029.0,0.0,1.35,73.59,8388.14,0.32,0.13,0.01,6.68,0.0,73.9,42.94,1.46
7,2030.0,0.0,1.21,69.57,8388.14,0.32,0.16,0.01,7.42,0.0,58.09,29.66,1.47
8,2031.0,0.0,1.1,70.87,8388.14,0.32,0.2,0.01,8.15,0.0,22.46,0.0,1.48
9,2032.0,1.87,0.98,68.22,8388.14,0.32,0.22,0.02,8.9,0.0,0.0,0.0,1.43
10,2033.0,7.09,0.85,64.94,8388.14,0.32,0.24,0.02,9.63,0.0,0.0,0.0,1.32
11,2034.0,7.69,0.73,64.81,8388.14,0.32,0.27,0.02,9.44,0.0,0.0,0.0,1.29
12,2035.0,5.08,0.61,67.78,8388.14,0.32,0.3,0.02,9.25,0.0,0.0,0.0,1.33
13,2036.0,2.89,0.49,69.86,8388.14,0.32,0.33,0.02,9.25,0.0,0.0,0.0,1.36
14,2037.0,3.14,0.37,66.56,8388.14,0.32,0.36,0.02,9.25,0.0,0.0,0.0,1.33
15,2038.0,3.54,0.24,62.94,8388.14,0.32,0.38,0.03,9.25,0.0,0.0,0.0,1.31
16,2039.0,4.03,0.11,59.07,8388.14,0.32,0.4,0.03,9.25,0.0,0.0,0.0,1.28
17,2040.0,2.5,0.0,65.02,8388.14,0.32,0.43,0.03,9.25,0.0,0.0,0.0,1.29
18,2041.0,2.48,0.0,69.56,8388.14,0.32,0.47,0.03,10.18,0.0,0.0,0.0,1.29
19,2042.0,3.86,0.0,71.74,8388.14,0.32,0.5,0.04,11.11,0.0,0.0,0.0,1.27
20,2043.0,3.33,0.0,85.04,8388.14,0.32,0.54,0.04,11.57,0.0,0.0,0.0,1.28
21,2044.0,2.66,0.0,98.79,8388.14,0.32,0.58,0.05,11.57,0.0,0.0,0.0,0.88
22,2045.0,2.52,0.0,112.54,8388.14,0.32,0.61,0.05,11.57,0.0,0.0,0.0,0.77
23,2046.0,2.26,0.0,127.91,8388.14,0.0,0.64,0.06,11.57,0.0,0.0,0.0,0.8
24,2047.0,0.56,0.0,140.31,8388.14,0.0,0.67,0.06,11.57,0.0,0.0,0.0,0.83
25,2048.0,4.82,0.0,150.54,8388.14,0.05,0.69,0.06,11.57,0.0,0.0,0.0,0.81
26,2049.0,3.97,0.0,165.5,8388.14,0.05,0.71,0.07,11.57,0.0,0.0,0.0,0.33
27,2050.0,3.13,0.0,178.97,8388.14,0.36,0.75,0.08,11.57,0.0,0.0,0.0,0.02
28,2051.0,2.85,0.0,178.89,8388.14,0.89,0.77,0.08,12.49,0.0,0.0,0.0,0.0
29,2052.0,2.64,0.0,178.35,8388.14,1.42,0.8,0.08,13.42,0.0,0.0,0.0,0.0
30,2053.0,2.26,0.0,184.07,8388.14,2.08,0.83,0.08,13.88,0.0,0.0,0.0,0.0
31,2054.0,1.75,0.0,182.8,8388.14,3.27,0.85,0.09,14.38,0.0,0.0,0.0,0.0
32,2055.0,1.28,0.0,189.07,8388.14,4.01,0.88,0.1,14.88,0.0,0.0,0.0,0.0
33,2056.0,0.0,0.0,194.6,8388.14,4.75,0.9,0.1,15.38,0.0,0.0,0.0,0.0
34,2057.0,0.0,0.0,204.77,8388.14,5.49,0.91,0.11,15.88,0.0,0.0,0.0,0.0
35,2058.0,0.0,0.0,215.9,8388.14,6.23,0.92,0.11,16.38,0.0,0.0,0.0,0.0
36,2059.0,0.0,0.0,231.07,8388.14,6.39,0.96,0.11,16.88,0.0,0.0,0.0,0.0
37,2060.0,0.0,0.0,246.16,8388.14,6.55,0.97,0.11,17.38,0.0,0.0,0.0,0.0
38,2061.0,0.0,0.0,263.65,8388.14,6.7,0.99,0.12,17.88,0.0,0.0,0.0,0.0
39,2062.0,0.0,0.0,281.55,8388.14,6.86,1.02,0.12,18.38,0.0,0.0,0.0,0.0
40,2063.0,0.0,0.0,304.95,8388.14,7.02,1.04,0.13,18.88,0.0,0.0,0.0,0.0
41,2064.0,0.0,0.0,328.68,8388.14,7.18,1.07,0.14,19.38,0.0,0.0,0.0,0.0
42,2065.0,0.0,0.0,344.44,8388.14,7.34,1.09,0.14,19.88,0.0,0.0,0.0,0.0
43,2066.0,0.0,0.0,375.58,8388.14,7.5,1.11,0.14,20.38,0.0,0.0,0.0,0.0
44,2067.0,0.0,0.0,375.21,8388.14,7.66,1.12,0.14,20.88,0.0,0.0,0.0,0.0
45,2068.0,0.0,0.0,375.29,8388.14,7.82,1.13,0.14,21.38,0.0,0.0,0.0,0.0
46,2069.0,0.0,0.0,363.82,8388.14,7.98,1.17,0.14,21.38,0.0,0.0,0.0,0.0
47,2070.0,0.0,0.0,308.87,8388.14,8.13,1.18,0.15,21.38,0.0,0.0,0.0,0.0
