,y,Aswan 1 FPV,Aswan 2 FPV,High Aswan Dam FPV
0,2023.0,0.0,0.0,0.1347413223237016
1,2024.0,0.0,0.0,0.1347413223237016
2,2025.0,0.20142992017913233,0.27,0.43474132232370155
3,2026.0,0.20142992017913233,0.27,0.43474132232370155
4,2027.0,0.20142992017913233,0.27,0.43474132232370155
5,2028.0,0.20142992017913233,0.27,0.43474132232370155
6,2029.0,0.20142992017913233,0.27,0.43474132232370155
7,2030.0,0.20142992017913233,0.27,0.43474132232370155
8,2031.0,0.20142992017913233,0.27,0.43474132232370155
9,2032.0,0.20142992017913233,0.27,0.43474132232370155
10,2033.0,0.20142992017913233,0.27,0.43474132232370155
11,2034.0,0.20142992017913233,0.27,0.43474132232370155
12,2035.0,0.20142992017913233,0.27,0.7347413223237016
13,2036.0,0.28,0.27,1.0347413223237016
14,2037.0,0.28,0.27,1.3347413223237017
15,2038.0,0.28,0.27,1.6347413223237015
16,2039.0,0.28,0.27,1.9347413223237018
17,2040.0,0.28,0.27,2.1000000000000005
18,2041.0,0.28,0.27,2.1000000000000005
19,2042.0,0.28,0.27,2.1000000000000005
20,2043.0,0.28,0.27,2.1000000000000005
21,2044.0,0.28,0.27,2.1000000000000005
22,2045.0,0.28,0.27,2.1000000000000005
23,2046.0,0.28,0.27,2.1000000000000005
24,2047.0,0.28,0.27,2.1
25,2048.0,0.28,0.27,2.1000000000000183
26,2049.0,0.28,0.27,2.1000000000000183
27,2050.0,0.28,0.27000000000000046,2.100000000000018
28,2051.0,0.28,0.27000000000000046,2.100000000000018
29,2052.0,0.28,0.27000000000000046,2.1000000000000183
30,2053.0,0.28,0.27000000000000046,2.1000000000000183
31,2054.0,0.28,0.27000000000000046,2.100000000000018
32,2055.0,0.28,0.27000000000000046,2.100000000000018
33,2056.0,0.28,0.27000000000000046,2.1000000000000183
34,2057.0,0.28,0.27000000000000046,2.1000000000000183
35,2058.0,0.28,0.27000000000000046,2.100000000000018
36,2059.0,0.28,0.27000000000000046,2.100000000000018
37,2060.0,0.28,0.27000000000000046,2.1
38,2061.0,0.28,0.27000000000000046,2.1
39,2062.0,0.28,0.27000000000000046,2.0999999999999996
40,2063.0,0.28,0.27000000000000046,2.1
41,2064.0,0.28,0.27000000000000046,2.1
42,2065.0,0.28,0.27000000000000046,2.1
43,2066.0,0.28,0.27000000000000046,2.1
44,2067.0,0.28,0.27000000000000046,2.1
45,2068.0,0.28,0.27000000000000046,2.1
46,2069.0,0.28,0.27000000000000046,2.1
47,2070.0,0.28,0.27000000000000046,2.1
