,y,CSP (without storage),CSP (with storage),Solar PV (utility),Solar PV (roof top),Solar PV with storage,Solar FPV
8,2023.0,0.4,0.4,0.94014875,0.15000000000000002,0.15000000000000002,0.1347413223237016
9,2024.0,0.4,0.4,1.19014,0.15000000000000002,0.15000000000000002,0.1347413223237016
10,2025.0,0.4,0.4,1.4401312499999999,0.3000000000000005,0.30000000000000027,0.9061712425028339
11,2026.0,0.4,0.4,1.6463207772583113,0.3000000000000005,0.30000000000000027,0.9061712425028339
12,2027.0,0.4,0.4,1.8054590390570981,0.3000000000000005,0.30000000000000027,0.9061712425028339
13,2028.0,0.4,0.4,2.055450289057098,0.3000000000000005,0.30000000000000027,0.9061712425028339
14,2029.0,0.4,0.4,2.3054415390570977,0.3000000000000005,0.30000000000000027,0.9061712425028339
15,2030.0,0.4,0.4,2.5554327890570976,0.5500000000000005,0.5500000000000003,0.9061712425028339
16,2031.0,0.4,0.4,3.055424039057098,0.6000000000000009,0.6000000000000028,0.9061712425028339
17,2032.0,0.4,0.4,3.5554152890570982,0.6500000000000021,0.6500000000000039,0.9061712425028339
18,2033.0,0.4,0.4,4.055406539057098,0.7000000000000031,0.700000000000005,0.9061712425028339
19,2034.0,0.4,0.4,4.555397789057098,0.7500000000000031,0.750000000000006,0.9061712425028339
20,2035.0,0.4,0.4,5.055389039057098,0.8000000000000047,0.8000000000000065,1.206171242502834
21,2036.0,0.4,0.4,5.555380289057098,0.8500000000000058,0.8500000000000081,1.5847413223237017
22,2037.0,0.4,0.4,6.055371539057099,0.900000000000009,0.9000000000000096,1.8847413223237017
23,2038.0,0.4,0.4,6.555362789057098,0.9500000000000103,0.9500000000000105,2.1847413223237018
24,2039.0,0.4,0.4,7.055354039057098,1.0000000000000129,1.0000000000000122,2.4847413223237016
25,2040.0,0.4,0.4,7.545354039057099,1.0499999999999998,1.050000000000013,2.6500000000000004
26,2041.0,0.4,0.4,8.265354039057097,1.0999999999999999,1.100000000000016,2.6500000000000004
27,2042.0,0.4,0.4,9.015354039057097,1.1499999999999997,1.1500000000000272,2.6500000000000004
28,2043.0,0.4,0.4,9.715354039057098,1.2,1.2000000000000164,2.6500000000000004
29,2044.0,0.4,0.4,10.465354039057098,1.2499999999999998,1.250000000000017,2.6500000000000004
30,2045.0,0.4,0.4,11.115345289057098,1.2999999999999998,1.3000000000000203,2.6500000000000004
31,2046.0,0.0,0.0,11.615345289057098,1.3500000000000203,1.3500000000000192,2.6500000000000004
32,2047.0,0.0,0.0,12.115345289057098,1.4000000000000228,1.4000000000000181,2.6500000000000004
33,2048.0,0.1340737002266814,0.0,12.615345289057098,1.4500000000000215,1.450000000000023,2.650000000000018
34,2049.0,0.1340737002266814,0.0,13.115345289057098,1.5000000000000249,1.5000000000000238,2.650000000000018
35,2050.0,1.017114583213074,0.0,13.615345289057098,1.550000000000026,1.550000000000026,2.650000000000018
36,2051.0,2.5171145832130737,0.0,14.159147011798787,1.6000000000000258,1.6000000000000258,2.650000000000018
37,2052.0,4.017114583213074,0.0,14.75,1.6500000000000266,1.6500000000000266,2.650000000000019
38,2053.0,5.517114583213074,0.3000000000000904,15.25,1.7000000000000255,1.7000000000000257,2.650000000000019
39,2054.0,7.000000000000072,1.8000000000000904,15.75,1.750000000000027,1.750000000000028,2.650000000000018
40,2055.0,7.199999999999999,3.3000000000000904,16.25,1.8000000000000003,1.8,2.650000000000018
41,2056.0,7.400000000000079,4.80000000000009,16.5,1.850000000000029,1.850000000000027,2.650000000000019
42,2057.0,7.600000000000001,6.30000000000009,16.75,1.9,1.9,2.650000000000019
43,2058.0,7.800000000000001,7.80000000000009,17.0,1.9499999999999997,1.9499999999999997,2.650000000000018
44,2059.0,8.0,8.000000000000087,17.25,2.0,2.0,2.650000000000018
45,2060.0,8.200000000000092,8.200000000000092,17.5,2.0499999999999994,2.05,2.6500000000000004
46,2061.0,8.399999999999999,8.40000000000009,18.0,2.1000000000000005,2.1,2.6500000000000004
47,2062.0,8.600000000000001,8.600000000000087,18.5,2.15,2.15,2.6500000000000004
48,2063.0,8.8,8.800000000000095,19.0,2.200000000000033,2.2,2.6500000000000004
49,2064.0,9.0,9.000000000000107,19.5,2.2500000000000004,2.25,2.6500000000000004
50,2065.0,9.2,9.2,20.0,2.300000000000033,2.3,2.6500000000000004
51,2066.0,9.4,9.4,20.25,2.3500000000000334,2.3500000000000005,2.6500000000000004
52,2067.0,9.6,9.6,20.5,2.4000000000000337,2.4000000000000004,2.6500000000000004
53,2068.0,9.8,9.8,20.75,2.45,2.45,2.6500000000000004
54,2069.0,10.0,10.0,21.0,2.5,2.5,2.6500000000000004
55,2070.0,10.2,10.2,21.25,2.55,2.55,2.6500000000000004
