,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Wind,Geothermal
0,2015.0,0.0,0.007,0.0,0.0,0.001,0.0,0.151,0.0
1,2016.0,0.0,0.072,0.0,0.0,0.002,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,1.87,0.001,0.0,0.0,0.0
3,2019.0,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0
4,2020.0,0.0,0.0,2.574,0.0,0.0,0.0,0.0,0.12
5,2021.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.17
6,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
7,2023.0,0.0,0.0,0.0,7.088,0.0,0.0,0.0,0.2
8,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
9,2025.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.2
10,2027.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0,0.0
11,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052
12,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243
13,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
14,2031.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.25
15,2032.0,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.25
16,2033.0,0.0,0.0,0.0,0.0,0.217,0.0,0.0,0.25
17,2034.0,0.0,0.0,0.0,0.0,0.293,0.0,0.0,0.25
18,2035.0,0.0,0.0,0.0,0.0,0.652,0.0,0.0,0.25
19,2036.0,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.25
20,2037.0,0.0,0.0,0.0,0.0,1.109,0.0,0.0,0.122
21,2038.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.051
22,2039.0,0.0,0.002,0.0,0.0,0.777,0.0,0.0,0.25
23,2040.0,0.0,0.002,0.0,0.0,1.126,0.0,0.0,0.25
24,2041.0,0.0,0.016,0.0,0.0,1.461,0.0,0.0,0.235
25,2042.0,0.0,0.0,0.0,0.0,2.576,0.0,0.0,0.0
26,2043.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.007
27,2044.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.155
28,2045.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25
29,2046.0,0.0,0.001,0.0,0.216,3.117,0.0,0.0,0.25
30,2047.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.25
31,2048.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.25
32,2049.0,0.384,0.017,0.0,0.0,3.5,0.0,0.0,0.25
33,2050.0,1.727,0.0,0.042,1.6,3.5,0.0,0.0,0.25
34,2051.0,0.0,0.0,0.0,0.0,3.324,0.0,0.0,0.0
35,2052.0,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0
36,2053.0,0.0,0.0,0.0,1.0,2.338,0.0,0.0,0.0
37,2054.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.088
38,2055.0,0.08,0.0,0.0,0.0,3.5,0.0,0.0,0.25
39,2056.0,0.141,0.016,0.0,0.0,3.5,0.0,0.0,0.25
40,2057.0,0.069,0.0,0.0,0.0,3.5,0.856,0.0,0.25
41,2058.0,0.0,0.0,0.0,1.017,3.5,0.0,0.0,0.25
42,2059.0,0.0,0.0,0.0,0.0,3.5,0.866,0.0,0.25
43,2060.0,0.0,0.0,0.0,0.28,3.5,1.113,0.0,0.25
44,2061.0,0.0,0.0,0.0,0.0,3.5,0.656,0.0,0.25
45,2062.0,0.0,0.0,0.0,0.0,3.5,1.362,0.016,0.25
46,2063.0,0.0,0.0,0.0,0.0,3.5,1.0,0.389,0.25
47,2064.0,0.0,0.0,0.0,0.0,3.5,1.102,0.745,0.25
48,2065.0,0.0,0.0,0.0,0.25,3.5,1.073,0.519,0.25
49,2066.0,0.0,0.0,0.0,0.0,3.5,1.521,0.73,0.25
50,2067.0,0.0,0.0,0.0,0.0,6.5,0.29,0.0,0.25
51,2068.0,0.0,0.0,0.0,0.0,6.5,1.041,0.055,0.007
52,2069.0,0.0,0.0,0.0,0.0,6.5,0.895,0.0,0.155
53,2070.0,0.0,0.0,0.0,1.7,4.26,1.0,0.0,0.25
