,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Solar FPV
0,2015.0,0.00916,0.001,0.0,0.0
1,2016.0,0.00916,0.003,0.0,0.0
2,2017.0,0.00916,0.004,0.0,0.0
3,2018.0,0.00916,0.004,0.0,0.0
4,2019.0,0.00916,0.004,0.0,0.0
5,2020.0,0.008702,0.004,0.0,0.0
6,2021.0,0.008244,0.004,0.0,0.0
7,2022.0,0.007786,0.004,0.0,0.0
8,2023.0,0.007328,0.004,0.0,0.0
9,2024.0,0.00687,0.004,0.0,0.0
10,2025.0,0.006412,0.004,0.0,0.0
11,2026.0,0.005954,0.004,0.0,0.0
12,2027.0,0.005496,0.004,0.0,0.0
13,2028.0,0.005038,0.004,0.0,0.0
14,2029.0,0.00458,0.004,0.0,0.0
15,2030.0,0.004122,0.004,0.0,0.0
16,2031.0,0.003664,0.10894863473275115,0.0,0.0
17,2032.0,0.003206,0.2552376863556989,0.0,0.0
18,2033.0,0.002748,0.4726446418339907,0.0,0.0
19,2034.0,0.00229,0.7654969274509951,0.0,0.0
20,2035.0,0.001832,1.416271475525368,0.0,0.0
21,2036.0,0.001374,1.9024837518889444,0.0,0.0
22,2037.0,0.000916,3.010510171106583,0.0,0.0
23,2038.0,0.000458,4.510510171106583,0.0,0.0
24,2039.0,0.0,5.287453937843943,0.0,0.0
25,2040.0,0.0,6.413303604086309,0.0,0.0
26,2041.0,0.0,7.874104402641331,0.0,0.0
27,2042.0,0.0,10.450135337045257,0.0,0.0
28,2043.0,0.0,13.450135337045257,0.0,0.0
29,2044.0,0.0,16.450135337045257,0.0,0.0
30,2045.0,0.0,19.450135337045257,0.0,0.0
31,2046.0,0.0,22.450135337045257,0.11684060536170485,0.0
32,2047.0,0.0,25.450135337045257,0.6168406053617048,0.0
33,2048.0,0.0,28.450135337045257,1.1168406053617048,0.0
34,2049.0,0.0,31.450135337045257,1.6168406053617048,0.0
35,2050.0,0.0,34.45013533704525,2.1168406053617046,0.0
36,2051.0,0.0,37.3451867023125,2.4412210977457875,0.0
37,2052.0,0.0,40.19889765068956,2.6770646480418447,0.0
38,2053.0,0.0,42.31933790532596,2.6770646480418447,0.0
39,2054.0,0.0,45.02648561970896,3.1770646480418447,0.0
40,2055.0,0.0,47.374711071634586,3.677064648041845,0.0
41,2056.0,0.0,49.886498795271,4.177064648041845,0.0
42,2057.0,0.0,51.77747237605337,4.677064648041845,0.8564534197768047
43,2058.0,0.0,53.27747237605337,5.177064648041845,0.8564534197768047
44,2059.0,0.0,55.50052860931601,5.677064648041845,1.7217960162648085
45,2060.0,0.0,57.37467894307364,6.177064648041845,2.8349628309080823
46,2061.0,0.0,58.91387814451862,6.677064648041845,3.490474286853311
47,2062.0,0.0,59.337847210114695,7.177064648041845,4.8521460305513
48,2063.0,0.0,59.337847210114695,7.677064648041845,5.8521460305513
49,2064.0,0.0,59.337847210114695,8.177064648041846,6.954686405556776
50,2065.0,0.0,59.337847210114695,8.677064648041846,8.027270535470478
51,2066.0,0.0,59.337847210114695,9.06022404268014,9.548000000000018
52,2067.0,3.0,59.337847210114695,9.06022404268014,9.837683962565526
53,2068.0,6.0,59.337847210114695,9.06022404268014,10.879000000000017
54,2069.0,9.0,59.337847210114695,9.06022404268014,11.774000000000017
55,2070.0,9.759569215361754,59.337847210114695,9.06022404268014,12.774000000001541
