,y,Ethiopia - Sudan EL existing trade link
0,2015.0,2.4048
1,2016.0,3.5097
2,2017.0,-5.9918
3,2018.0,-3.1483999999999996
4,2019.0,5.9918
5,2020.0,2.6655
6,2021.0,1.4392
7,2022.0,0.9870000000000001
8,2023.0,-5.9918
9,2024.0,0.0
10,2025.0,-3.7449
11,2026.0,-2.1523
12,2027.0,-3.7449
13,2028.0,-3.7449
14,2029.0,-3.7449
15,2030.0,-3.6444
16,2031.0,-1.4979999999999998
17,2032.0,-1.4979999999999998
18,2033.0,-1.4979999999999998
19,2034.0,-1.4979999999999998
20,2035.0,-2.6417
21,2036.0,-4.8701
22,2037.0,-3.9945000000000004
23,2038.0,-2.5083
24,2039.0,-2.0239
25,2040.0,-2.8741000000000003
26,2041.0,-2.7121000000000004
27,2042.0,-2.3464
28,2043.0,-2.3464
29,2044.0,-2.2034
30,2045.0,-2.8329999999999997
31,2046.0,-2.7443
32,2047.0,-2.4148000000000005
33,2048.0,-1.5885
34,2049.0,-2.5209
35,2050.0,-4.7563
36,2051.0,-4.7563
37,2052.0,-4.5481
38,2053.0,-4.6728000000000005
39,2054.0,-4.0710999999999995
40,2055.0,-3.7264
41,2056.0,-3.7264
42,2057.0,-3.7264
43,2058.0,-4.0127
44,2059.0,-3.7264
45,2060.0,-3.7877
46,2061.0,-3.7264
47,2062.0,-3.7264
48,2063.0,-3.7264
49,2064.0,-3.7264
50,2065.0,-3.7264
51,2066.0,-3.1724000000000006
52,2067.0,-2.6184000000000003
53,2068.0,-3.1724000000000006
54,2069.0,-3.7264
55,2070.0,-3.8182
