,y,CO2
0,2015,10.5725
1,2016,11.5943
2,2017,12.5691
3,2018,13.9777
4,2019,17.2676
5,2020,22.6656
6,2021,23.5567
7,2022,24.7331
8,2023,20.3663
9,2024,20.6735
10,2025,21.714
11,2026,23.161
12,2027,24.3446
13,2028,26.1917
14,2029,28.1755
15,2030,30.5239
16,2031,27.921
17,2032,25.9032
18,2033,24.1948
19,2034,22.7352
20,2035,21.8046
21,2036,20.915
22,2037,19.8327
23,2038,18.7799
24,2039,17.9921
25,2040,17.3711
26,2041,16.2062
27,2042,15.0426
28,2043,13.8655
29,2044,12.6897
30,2045,11.7703
31,2046,10.7948
32,2047,9.9285
33,2048,9.2549
34,2049,9.8509
35,2050,9.7223
36,2051,9.1024
37,2052,8.5869
38,2053,8.0455
39,2054,7.6923
40,2055,7.4226
41,2056,7.2951
42,2057,7.1216
43,2058,6.9058
44,2059,6.7241
45,2060,6.5923
46,2061,6.4575
47,2062,6.2697
48,2063,6.134
49,2064,6.1406
50,2065,6.0838
51,2066,6.0551
52,2067,5.7498
53,2068,5.7148
54,2069,5.8831
55,2070,5.7363
