,y,Coal imports (inland transport-maritime freight)
0,2015.0,11.1619
1,2016.0,12.0038
2,2017.0,11.2682
3,2018.0,10.5327
4,2019.0,9.7972
5,2020.0,9.0616
6,2021.0,11.4108
7,2022.0,14.3682
8,2023.0,18.0907
9,2024.0,22.7757
10,2025.0,28.6713
11,2026.0,36.0656
12,2027.0,45.3632
13,2028.0,57.0518
14,2029.0,71.7431
15,2030.0,90.2051
16,2031.0,71.3745
17,2032.0,56.4806
18,2033.0,44.6981
19,2034.0,35.3755
20,2035.0,28.3264
21,2036.0,22.4477
22,2037.0,17.7878
23,2038.0,14.0944
24,2039.0,11.1674
25,2040.0,8.848
26,2041.0,7.9632
27,2042.0,7.0784
28,2043.0,6.1936
29,2044.0,5.3088
30,2045.0,4.424
31,2046.0,3.5392
32,2047.0,2.6544
33,2048.0,1.7696
34,2049.0,15.7644
35,2050.0,31.9008
36,2051.0,30.868
37,2052.0,30.542
38,2053.0,29.6643
39,2054.0,30.3346
40,2055.0,31.4825
41,2056.0,33.6982
42,2057.0,35.3784
43,2058.0,36.3094
44,2059.0,37.4826
45,2060.0,39.5468
46,2061.0,40.3703
47,2062.0,40.5979
48,2063.0,41.2144
49,2064.0,43.2557
50,2065.0,44.4438
51,2066.0,46.098
52,2067.0,44.2561
53,2068.0,45.3564
54,2069.0,48.592
55,2070.0,48.2358
