,y,Amarti-Neshe FPV,Birbir FPV,Baro FPV,Chemoga Yeda FPV,Finchaa FPV,Genji FPV,Karadobi FPV,Lower Dabus FPV,Lower Dedessa FPV,Lake Tana - Beles FPV,Renaissance FPV,Tekeze 1 FPV,Tekeze 2 FPV,Upper Mandaya FPV
0,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564534197768047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7435465802232094,0.0,0.0,0.0,0.12179601626479432,0.0,0.0,0.0
2,2060.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.8331668146432739,0.0,0.0,0.0
3,2061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.655511455945229,0.0,0.0,0.0
4,2062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3616717436979879,0.0
5,2063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,2064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08421211870346514,0.018328256302012125,0.0
7,2065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07258412991370149,0.0,0.0
8,2066.0,0.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.46,0.7895257131467049,0.14320375138283342,0.0,0.0
9,2067.0,0.0,0.28968396256550866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2068.0,0.098,0.17731603743449137,0.0,0.0,0.0,0.216,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0
11,2069.0,0.0,0.0,0.645,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
12,2070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000015248
