,y,Amarti-Neshe FPV,Birbir FPV,Baro FPV,Chemoga Yeda FPV,Finchaa FPV,Genji FPV,Karadobi FPV,Lower Dabus FPV,Lower Dedessa FPV,Lake Tana - Beles FPV,Renaissance FPV,Tekeze 1 FPV,Tekeze 2 FPV,Upper Mandaya FPV
0,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2059.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0959,0.0,0.0,0.0,0.7043,0.0,0.0,0.0
3,2060.0,0.0,0.0,0.0,1.6469,0.0,0.0,10.0959,0.0,0.0,0.0,5.5224,0.0,0.0,0.0
4,2061.0,0.0,0.0,0.0,1.6469,0.0,0.0,10.0959,0.0,0.0,0.0,9.3132,0.0,0.0,0.0
5,2062.0,0.0,0.0,0.0,1.6469,0.0,0.0,10.0959,0.0,0.0,0.0,15.0961,0.0,1.9591,0.0
6,2063.0,0.0,0.0,0.0,1.6469,0.0,0.0,10.0959,0.0,0.0,0.0,20.879,0.0,2.2299,0.0
7,2064.0,0.0,0.0,0.0,1.5134,0.0,0.0,10.0959,0.0,0.0,0.0,26.6618,0.2438,2.3429,0.0
8,2065.0,0.0,0.0,0.0,1.351,0.0,0.0,10.0959,0.0,0.0,0.0,32.4447,0.7656,1.4336,0.0
9,2066.0,0.0,0.0,0.0,0.7984,0.3484,0.0,10.0959,0.0,0.0,2.1426,32.8851,1.0867,1.1129,0.0
10,2067.0,0.0,0.9846,0.0,1.0699,0.433,0.0,8.0919,0.0,0.0,1.738,26.921,0.8686,1.1129,0.0
11,2068.0,0.2628,1.8187,0.0,1.0699,0.4581,0.7084,7.321,0.0,1.435,2.2564,29.9494,1.0806,1.3975,0.0
12,2069.0,0.3201,1.1759,1.5052,1.0943,0.3484,0.5216,4.7294,0.5992,1.745,2.5757,33.5765,0.8686,1.1129,0.0
13,2070.0,0.2628,1.1759,2.9475,0.7984,0.3484,0.5216,9.0831,0.5992,1.745,2.5757,33.5765,1.3152,1.1129,5.138
