,y,Ethiopia - Djibouti NG planned trade link,Natural gas extraction
0,2020.0,0.0,117.836
1,2021.0,-3.2175,124.6024
2,2022.0,-3.2175,130.2845
3,2023.0,-3.2175,31.2451
4,2024.0,-3.2175,18.7244
5,2025.0,-3.2175,11.3807
6,2026.0,-3.2175,16.3383
7,2027.0,0.0,9.1081
8,2028.0,0.0,13.7443
9,2029.0,0.0,15.4263
10,2030.0,0.0,17.3061
11,2031.0,0.0,15.0529
12,2032.0,0.0,16.7452
13,2033.0,0.0,18.417
14,2034.0,0.0,20.0675
15,2035.0,0.0,23.5604
16,2036.0,0.0,29.0676
17,2037.0,0.0,28.1328
18,2038.0,0.0,25.6038
19,2039.0,0.0,26.3435
20,2040.0,0.0,28.9258
21,2041.0,0.0,29.5476
22,2042.0,0.0,28.4976
23,2043.0,0.0,26.5569
24,2044.0,0.0,23.1148
25,2045.0,0.0,23.3561
26,2046.0,0.0,21.1819
27,2047.0,0.0,19.9742
28,2048.0,0.0,21.4871
29,2049.0,0.0,20.4791
30,2050.0,0.0,0.2744
31,2051.0,0.0,0.2731
32,2052.0,0.0,0.2719
33,2056.0,0.0,0.2669
34,2057.0,0.0,0.2657
35,2059.0,0.0,0.0572
