,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,0.96,0.0,755.81,0.0,0.0,0.0,0.89,0.0,0.0,0.0
1,2016.0,0.0,1.07,0.0,755.81,0.0,0.0,0.0,0.89,0.0,0.0,0.0
2,2017.0,0.0,0.52,0.0,1290.41,0.0,0.0,0.0,0.08,0.0,0.0,0.0
3,2018.0,0.0,0.52,0.0,1399.63,0.0,0.0,0.0,0.36,0.0,0.0,0.0
4,2019.0,0.0,2.62,0.0,1418.92,0.0,0.0,0.0,0.89,0.0,0.0,0.0
5,2020.0,0.0,0.52,15.05,1418.92,0.0,0.0,0.04,0.89,0.0,0.0,0.06
6,2021.0,0.0,0.5,15.19,1418.92,0.0,0.0,0.09,0.85,0.0,0.0,0.07
7,2022.0,0.0,0.98,15.42,1418.92,0.0,0.0,0.12,0.8,0.0,0.0,0.07
8,2023.0,0.0,0.45,3.6,2929.22,0.0,0.0,0.18,0.76,0.0,0.0,0.02
9,2024.0,0.0,0.42,2.0,2929.22,0.0,0.0,0.26,0.71,0.0,0.0,0.01
10,2025.0,0.0,0.39,1.05,3176.95,0.0,0.0,0.33,0.18,0.15,8.72,0.01
11,2026.0,0.0,0.37,1.69,3198.72,0.0,0.0,0.33,0.4,0.0,8.72,0.01
12,2027.0,0.0,0.34,1.18,3468.33,0.0,0.0,0.33,0.14,0.0,8.72,0.0
13,2028.0,0.0,0.32,1.78,3522.81,0.0,0.0,0.34,0.31,0.0,8.72,0.01
14,2029.0,0.0,0.29,2.01,3522.81,0.0,0.0,0.42,0.27,0.0,8.72,0.01
15,2030.0,0.0,0.26,2.25,3522.81,0.0,0.0,0.5,0.22,0.0,8.72,0.01
16,2031.0,0.0,0.24,1.96,3522.81,0.0,0.0,0.57,0.18,0.0,8.72,0.01
17,2032.0,0.0,0.21,2.19,3522.81,0.01,0.0,0.65,0.13,0.0,8.72,0.01
18,2033.0,0.0,0.18,2.41,3522.81,0.02,0.0,0.73,0.09,0.0,8.72,0.01
19,2034.0,0.0,0.16,2.63,3522.81,0.03,0.0,0.81,0.04,0.0,8.72,0.01
20,2035.0,0.0,0.13,3.1,3522.81,0.06,0.0,0.89,0.0,0.0,8.72,0.01
21,2036.0,0.0,0.11,3.83,3522.81,0.08,0.0,0.96,0.0,0.0,8.72,0.02
22,2037.0,0.0,0.08,3.71,3522.81,0.12,0.0,1.0,0.0,0.0,8.72,0.01
23,2038.0,0.0,0.06,3.38,3522.81,0.19,0.0,1.02,0.0,0.0,8.72,0.01
24,2039.0,0.0,0.08,3.48,3522.81,0.22,0.0,1.1,0.0,0.0,8.72,0.01
25,2040.0,0.0,0.09,3.83,3522.81,0.26,0.0,1.18,0.0,0.0,8.72,0.02
26,2041.0,0.0,0.17,3.92,3522.81,0.32,0.0,1.25,0.0,0.0,8.72,0.02
27,2042.0,0.0,0.24,3.79,3522.81,0.43,0.0,1.25,0.0,0.0,8.72,0.02
28,2043.0,0.0,0.23,3.54,3500.64,0.55,0.0,1.25,0.0,0.0,8.05,0.01
29,2044.0,0.0,0.22,3.08,3440.18,0.68,0.0,1.3,0.0,0.0,7.43,0.01
30,2045.0,0.0,0.21,3.12,3401.23,0.8,0.0,1.34,0.0,0.0,6.85,0.01
31,2046.0,0.0,0.2,2.83,3423.28,0.94,0.0,1.36,0.0,0.0,6.33,0.01
32,2047.0,0.0,0.19,2.68,3325.02,1.09,0.0,1.41,0.0,0.0,5.84,0.01
33,2048.0,0.0,0.18,2.88,3287.94,1.24,0.0,1.43,0.0,0.0,5.39,0.01
34,2049.0,0.52,0.17,2.75,3277.25,1.4,0.0,1.43,0.0,0.0,4.97,0.01
35,2050.0,1.11,0.17,0.01,3569.87,1.55,0.0,1.44,0.0,0.0,4.59,0.0
36,2051.0,1.08,0.16,0.01,3459.55,1.69,0.0,1.44,0.0,0.0,4.24,0.0
37,2052.0,1.07,0.15,0.01,3382.1,1.82,0.0,1.44,0.0,0.0,3.91,0.0
38,2053.0,1.03,0.14,0.0,3562.11,1.91,0.0,1.43,0.0,0.0,3.61,0.0
39,2054.0,1.06,0.13,0.0,3556.94,2.06,0.0,1.38,0.0,0.0,3.33,0.0
40,2055.0,1.1,0.16,0.0,3539.62,2.18,0.0,1.38,0.0,0.0,3.07,0.0
41,2056.0,1.18,0.12,0.01,3511.46,2.32,0.0,1.38,0.0,0.0,2.85,0.0
42,2057.0,1.23,0.11,0.01,3492.75,2.43,0.0,1.38,0.0,0.0,2.63,0.0
43,2058.0,1.27,0.16,0.0,3714.24,2.52,0.0,1.38,0.0,0.0,2.43,0.0
44,2059.0,1.31,0.1,0.0,3685.66,2.64,0.0,1.38,0.0,0.0,2.24,0.0
45,2060.0,1.38,0.08,0.0,3719.29,2.75,0.0,1.38,0.0,0.0,1.17,0.0
46,2061.0,1.41,0.08,0.0,3680.08,2.84,0.0,1.38,0.0,0.0,1.17,0.0
47,2062.0,1.42,0.09,0.0,3676.43,2.89,0.0,1.42,0.0,0.0,1.17,0.0
48,2063.0,1.44,0.1,0.0,3684.0,2.92,0.0,1.47,0.0,0.0,1.17,0.0
49,2064.0,1.51,0.1,0.0,3687.5,2.95,0.0,1.48,0.0,0.0,1.17,0.0
50,2065.0,1.55,0.1,0.0,3796.23,2.98,0.0,1.48,0.0,0.0,1.17,0.0
51,2066.0,1.61,0.08,0.0,3987.34,3.01,0.01,1.49,0.0,0.0,1.17,0.0
52,2067.0,1.54,0.09,0.0,4240.5,3.08,0.01,1.56,0.0,0.0,1.17,0.0
53,2068.0,1.58,0.08,0.0,4440.8,3.18,0.0,1.56,0.0,0.0,1.08,0.0
54,2069.0,1.7,0.08,0.0,4469.07,3.3,0.01,1.56,0.0,0.0,1.0,0.0
55,2070.0,1.68,0.08,0.0,4682.06,3.33,0.0,1.56,0.0,0.0,0.92,0.0
