r,t,y,CapitalInvestment
REGION,EGCRUDPROX,2020, 2.4247454069986379e+03
REGION,EGNG00ILGX,2042, 9.3290133868932594e+02
REGION,EGNG00ILGX,2043, 8.0256344764344090e+02
REGION,EGNG00ILGX,2044, 5.8566357965093644e+01
REGION,EGNG00ILGX,2045, 5.6108442226011071e+01
REGION,EGNG00ILGX,2046, 1.0635883538980409e+02
REGION,EGNG00ILGX,2047, 9.4908694401535527e+01
REGION,EGNG00ILGX,2049, 8.5140307489378646e+00
REGION,EGNG00ILGX,2050, 6.2738860849867287e+01
REGION,EGNG00ILGX,2051, 7.1816771670933960e+01
REGION,EGNG00ILGX,2052, 72.2940394040916
REGION,EGNG00ILGX,2053, 7.4573752195343360e+01
REGION,EGNG00ILGX,2054, 7.8939149236988314e+01
REGION,EGNG00ILGX,2055, 1.2180642306593765e+02
REGION,EGNG00ILGX,2056, 1.5172185435564941e+02
REGION,EGNG00ILGX,2057, 36.8380293722784
REGION,EGNG00ILGX,2058, 4.0476206298259662e+01
REGION,EGNG00ILGX,2059, 5.2290577422812461e+01
REGION,EGNG00ILGX,2060, 5.8786393570863652e+01
REGION,EGNG00ILGX,2061, 8.8621039180032668e+01
REGION,EGNG00ILGX,2062, 9.6234957745337027e+01
REGION,EGNG00ILGX,2063, 9.8003937736421662e+01
REGION,EGNG00ILGX,2064, 9.3111873094503181e+01
REGION,EGNG00ILGX,2065, 7.7199772359973181e+01
REGION,EGNG00ILGX,2066, 6.9723592310853633e+01
REGION,EGNG00ILGX,2067, 1.0061295708794770e+03
REGION,EGNG00ILGX,2068, 9.0213854143097228e+02
REGION,EGNG00ILGX,2069, 1.8150642407884476e+02
REGION,EGNG00ILGX,2070, 1.6498718236544417e+02
REGION,EGNG00ELGX,2015, 332.20815063072
REGION,EGNG00ELGX,2017, 450.85391871312
REGION,EGNG00ELGX,2030, 4.8840987516900674e+02
REGION,EGBMCHP04N,2016, 1445.95
REGION,EGBMCHP04N,2021, 567.49
REGION,EGBMCHP04N,2022, 5.6628000000000009e+02
REGION,EGBMCHP04N,2023, 565.07
REGION,EGCOSCP04N,2025, 7027.68
REGION,EGCOSCP04N,2026, 7027.68
REGION,EGCOSCP04N,2035, 2342.56
REGION,EGCOSCP04N,2036, 2342.56
REGION,EGCOSCP04N,2037, 2342.56
REGION,EGCOSCP04N,2038, 2342.56
REGION,EGCOSCP04N,2039, 2342.56
REGION,EGCOSCP04N,2040, 2342.56
REGION,EGCOSCP04N,2041, 3513.84
REGION,EGCOSCP04N,2042, 1171.28
REGION,EGCOSCP04N,2043, 1171.28
REGION,EGCOSCP04N,2044, 1171.28
REGION,EGCOSCP04N,2045, 1171.28
REGION,EGCOSCP04N,2048, 3513.84
REGION,EGCOSCP04N,2049, 1171.28
REGION,EGCOSCP04N,2050, 1171.28
REGION,EGCOSCP04N,2051, 1171.28
REGION,EGCOSCP04N,2052, 1171.28
REGION,EGCOSCP04N,2053, 1171.28
REGION,EGCOSCP04N,2054, 1171.28
REGION,EGCOSCP04N,2055, 3513.84
REGION,EGCOSCP04N,2056, 3513.84
REGION,EGCOSCP04N,2057, 3513.84
REGION,EGCOSCP04N,2058, 3513.84
REGION,EGCOSCP04N,2059, 3513.84
REGION,EGCOSCP04N,2060, 3513.84
REGION,EGCOSCP04N,2061, 1171.28
REGION,EGCOSCP04N,2062, 1171.28
REGION,EGCOSCP04N,2063, 1171.28
REGION,EGCOSCP04N,2064, 1171.28
REGION,EGCOSCP04N,2065, 3513.84
REGION,EGCOSCP04N,2066, 3513.84
REGION,EGCOSCP04N,2067, 3513.84
REGION,EGCOSCP04N,2068, 3513.84
REGION,EGCOSCP04N,2069, 3513.84
REGION,EGCOSCP04N,2070, 3513.84
REGION,EGLFRCP04N,2015, 508.2
