r,t,y,AnnualFixedOperatingCost
REGION,EGLFRCP04O,2029, 5.709396
REGION,EGLFRCP04O,2030, 5.19036
REGION,EGLFRCP04O,2031, 4.671324
REGION,EGLFRCP04O,2032, 4.152288
REGION,EGLFRCP04O,2033, 3.633252
REGION,EGLFRCP04O,2034, 3.114216
REGION,EGLFRCP04O,2035, 2.59518
REGION,EGLFRCP04O,2036, 2.076144
REGION,EGLFRCP04O,2037, 1.557108
REGION,EGLFRCP04O,2038, 1.038072
REGION,EGLFRCP04O,2039, 0.519036000000001
REGION,EGLFRCP04N,2015, 12.25
REGION,EGLFRCP04N,2016, 30.52
REGION,EGLFRCP04N,2017, 30.52
REGION,EGLFRCP04N,2018, 30.52
REGION,EGLFRCP04N,2019, 30.52
REGION,EGLFRCP04N,2020, 30.52
REGION,EGLFRCP04N,2021, 30.52
REGION,EGLFRCP04N,2022, 30.52
REGION,EGLFRCP04N,2023, 30.52
REGION,EGLFRCP04N,2024, 30.52
REGION,EGLFRCP04N,2025, 30.52
REGION,EGLFRCP04N,2026, 30.52
REGION,EGLFRCP04N,2027, 30.52
REGION,EGLFRCP04N,2028, 30.52
REGION,EGLFRCP04N,2029, 30.52
REGION,EGLFRCP04N,2030, 30.52
REGION,EGLFRCP04N,2031, 30.52
REGION,EGLFRCP04N,2032, 30.52
REGION,EGLFRCP04N,2033, 30.52
REGION,EGLFRCP04N,2034, 30.52
REGION,EGLFRCP04N,2035, 30.52
REGION,EGLFRCP04N,2036, 30.52
REGION,EGLFRCP04N,2037, 30.52
REGION,EGLFRCP04N,2038, 30.52
REGION,EGLFRCP04N,2039, 30.52
REGION,EGLFRCP04N,2040, 18.27
REGION,EGNGCCP01O,2015, 55.125
REGION,EGNGCCP01O,2016, 55.125
REGION,EGNGCCP01O,2017, 55.125
REGION,EGNGCCP01O,2018, 55.125
REGION,EGNGCCP01O,2019, 55.125
REGION,EGNGCCP01O,2020, 55.125
REGION,EGNGCCP01O,2021, 52.36875
REGION,EGNGCCP01O,2022, 49.6125
REGION,EGNGCCP01O,2023, 46.85625
REGION,EGNGCCP01O,2024, 44.1
REGION,EGNGCCP01O,2025, 41.34375
REGION,EGNGCCP01O,2026, 38.5875
REGION,EGNGCCP01O,2027, 35.83125
REGION,EGNGCCP01O,2028, 33.075
REGION,EGNGCCP01O,2029, 30.31875
REGION,EGNGCCP01O,2030, 27.5625
REGION,EGNGCCP01O,2031, 24.80625
REGION,EGNGCCP01O,2032, 22.05
REGION,EGNGCCP01O,2033, 19.29375
REGION,EGNGCCP01O,2034, 16.5375
REGION,EGNGCCP01O,2035, 13.78125
REGION,EGNGCCP01O,2036, 11.025
REGION,EGNGCCP01O,2037, 8.26875
REGION,EGNGCCP01O,2038, 5.5125
REGION,EGNGCCP01O,2039, 2.75625
REGION,EGNGCCP02O,2015, 19.019
REGION,EGNGCCP02O,2016, 19.019
REGION,EGNGCCP02O,2017, 19.019
REGION,EGNGCCP02O,2018, 19.019
REGION,EGNGCCP02O,2019, 19.019
REGION,EGNGCCP02O,2020, 19.019
REGION,EGNGCCP02O,2021, 18.06805
REGION,EGNGCCP02O,2022, 17.1171
REGION,EGNGCCP02O,2023, 16.16615
REGION,EGNGCCP02O,2024, 15.2152
REGION,EGNGCCP02O,2025, 14.26425
REGION,EGNGCCP02O,2026, 13.3133
REGION,EGNGCCP02O,2027, 12.36235
REGION,EGNGCCP02O,2028, 11.4114
REGION,EGNGCCP02O,2029, 10.46045
REGION,EGNGCCP02O,2030, 9.5095
REGION,EGNGCCP02O,2031, 8.55855
REGION,EGNGCCP02O,2032, 7.6076
REGION,EGNGCCP02O,2033, 6.65665
REGION,EGNGCCP02O,2034, 5.7057
REGION,EGNGCCP02O,2035, 4.75475
REGION,EGNGCCP02O,2036, 3.8038
REGION,EGNGCCP02O,2037, 2.85285
REGION,EGNGCCP02O,2038, 1.9019
REGION,EGNGCCP02O,2039, 0.95095
REGION,EGNGCCP04O,2015, 264.5195
REGION,EGNGCCP04O,2016, 264.5195
REGION,EGNGCCP04O,2017, 264.5195
REGION,EGNGCCP04O,2018, 264.5195
REGION,EGNGCCP04O,2019, 264.5195
REGION,EGNGCCP04O,2020, 264.5195
REGION,EGNGCCP04O,2021, 251.293525
REGION,EGNGCCP04O,2022, 238.06755
REGION,EGNGCCP04O,2023, 224.841575
REGION,EGNGCCP04O,2024, 211.6156
REGION,EGNGCCP04O,2025, 198.389625
REGION,EGNGCCP04O,2026, 185.16365
REGION,EGNGCCP04O,2027, 171.937675
REGION,EGNGCCP04O,2028, 158.7117
REGION,EGNGCCP04O,2029, 145.485725
REGION,EGNGCCP04O,2030, 132.25975
REGION,EGNGCCP04O,2031, 119.033775
REGION,EGNGCCP04O,2032, 105.8078
REGION,EGNGCCP04O,2033, 92.581825
REGION,EGNGCCP04O,2034, 79.35585
REGION,EGNGCCP04O,2035, 66.129875
REGION,EGNGCCP04O,2036, 52.9039
REGION,EGNGCCP04O,2037, 39.677925
REGION,EGNGCCP04O,2038, 26.45195
REGION,EGNGCCP04O,2039, 13.225975
REGION,EGNGCCP01N,2015, 15
REGION,EGNGCCP01N,2016, 15
REGION,EGNGCCP01N,2017, 15
REGION,EGNGCCP01N,2018, 15
REGION,EGNGCCP01N,2019, 15
REGION,EGNGCCP01N,2020, 15
REGION,EGNGCCP01N,2021, 15
REGION,EGNGCCP01N,2022, 15
REGION,EGNGCCP01N,2023, 15
REGION,EGNGCCP01N,2024, 15
REGION,EGNGCCP01N,2025, 15
REGION,EGNGCCP01N,2026, 15
REGION,EGNGCCP01N,2027, 15
REGION,EGNGCCP01N,2028, 15
REGION,EGNGCCP01N,2029, 15
REGION,EGNGCCP01N,2030, 15
REGION,EGNGCCP01N,2031, 15
REGION,EGNGCCP01N,2032, 15
REGION,EGNGCCP01N,2033, 15
REGION,EGNGCCP01N,2034, 40
REGION,EGNGCCP01N,2035, 6.4735656018305633e+01
REGION,EGNGCCP01N,2036, 6.4735656018305633e+01
REGION,EGNGCCP01N,2037, 6.4735656018305633e+01
REGION,EGNGCCP01N,2038, 8.7501466342894076e+01
REGION,EGNGCCP01N,2039, 9.7485581614604143e+01
REGION,EGNGCCP01N,2040, 1.2248558161460414e+02
REGION,EGNGCCP01N,2041, 1.5998558161460414e+02
REGION,EGNGCCP01N,2042, 1.7910212555343057e+02
REGION,EGNGCCP01N,2043, 1.9017343802232480e+02
REGION,EGNGCCP01N,2044, 2.1470564231673157e+02
REGION,EGNGCCP01N,2045, 1.9970564231673157e+02
REGION,EGNGCCP01N,2046, 2.3720564231673157e+02
REGION,EGNGCCP01N,2047, 2.7470564231673154e+02
REGION,EGNGCCP01N,2048, 3.1220564231673160e+02
REGION,EGNGCCP01N,2049, 3.4970564231673166e+02
REGION,EGNGCCP01N,2050, 3.8720564231673166e+02
REGION,EGNGCCP01N,2051, 3.8813616450616132e+02
REGION,EGNGCCP01N,2052, 4.0094873339107016e+02
REGION,EGNGCCP01N,2053, 4.1222022829321531e+02
REGION,EGNGCCP01N,2054, 4.2068212713434980e+02
REGION,EGNGCCP01N,2055, 4.5456267740478575e+02
REGION,EGNGCCP01N,2056, 4.6938810751642859e+02
REGION,EGNGCCP01N,2057, 4.6938810751642859e+02
REGION,EGNGCCP01N,2058, 4.6938810751642859e+02
REGION,EGNGCCP01N,2059, 4.6938810751642859e+02
REGION,EGNGCCP01N,2060, 4.9974893417522196e+02
REGION,EGNGCCP01N,2061, 4.9974893417522196e+02
REGION,EGNGCCP01N,2062, 4.9974893417522196e+02
REGION,EGNGCCP01N,2063, 5.6224893417522185e+02
REGION,EGNGCCP01N,2064, 5.7890475782147234e+02
REGION,EGNGCCP01N,2065, 5.7444544858641393e+02
REGION,EGNGCCP01N,2066, 5.7444544858641393e+02
REGION,EGNGCCP01N,2067, 6.3694544858641393e+02
REGION,EGNGCCP01N,2068, 6.4772888795251345e+02
REGION,EGNGCCP01N,2069, 6.3774477268080341e+02
REGION,EGNGCCP01N,2070, 6.7524477268080341e+02
REGION,EGNGCCP02N,2018, 240
REGION,EGNGCCP02N,2019, 240
REGION,EGNGCCP02N,2020, 240
REGION,EGNGCCP02N,2021, 240
REGION,EGNGCCP02N,2022, 240
REGION,EGNGCCP02N,2023, 240
REGION,EGNGCCP02N,2024, 240
REGION,EGNGCCP02N,2025, 240
REGION,EGNGCCP02N,2026, 240
REGION,EGNGCCP02N,2027, 240
REGION,EGNGCCP02N,2028, 240
REGION,EGNGCCP02N,2029, 240
REGION,EGNGCCP02N,2030, 240
REGION,EGNGCCP02N,2031, 240
REGION,EGNGCCP02N,2032, 240
REGION,EGNGCCP02N,2033, 2.4922337628954662e+02
REGION,EGNGCCP02N,2034, 274.052289283429
REGION,EGNGCCP02N,2035, 274.052289283429
REGION,EGNGCCP02N,2036, 297.955448465695
REGION,EGNGCCP02N,2037, 297.955448465695
REGION,EGNGCCP02N,2038, 297.955448465695
REGION,EGNGCCP02N,2039, 297.955448465695
REGION,EGNGCCP02N,2040, 322.955448465695
REGION,EGNGCCP02N,2041, 322.955448465695
REGION,EGNGCCP02N,2042, 322.955448465695
REGION,EGNGCCP02N,2043, 322.955448465695
REGION,EGNGCCP02N,2044, 322.955448465695
REGION,EGNGCCP02N,2045, 3.4475370592551144e+02
REGION,EGNGCCP02N,2046, 3.8225370592551144e+02
REGION,EGNGCCP02N,2047, 4.1975370592551144e+02
REGION,EGNGCCP02N,2048, 2.1725370592551141e+02
REGION,EGNGCCP02N,2049, 2.5475370592551141e+02
REGION,EGNGCCP02N,2050, 2.5804276888912665e+02
REGION,EGNGCCP02N,2051, 2.9554276888912665e+02
REGION,EGNGCCP02N,2052, 2.9554276888912665e+02
REGION,EGNGCCP02N,2053, 3.3304276888912665e+02
REGION,EGNGCCP02N,2054, 3.7054276888912665e+02
REGION,EGNGCCP02N,2055, 3.7054276888912665e+02
REGION,EGNGCCP02N,2056, 4.0804276888912665e+02
REGION,EGNGCCP02N,2057, 4.2335126991457304e+02
REGION,EGNGCCP02N,2058, 4.4920653208697115e+02
REGION,EGNGCCP02N,2059, 4.4920653208697115e+02
REGION,EGNGCCP02N,2060, 4.4920653208697115e+02
REGION,EGNGCCP02N,2061, 5.0591272872552520e+02
REGION,EGNGCCP02N,2062, 5.0591272872552520e+02
REGION,EGNGCCP02N,2063, 5.0427318439458276e+02
REGION,EGNGCCP02N,2064, 4.7944427140070042e+02
REGION,EGNGCCP02N,2065, 5.4194427140070036e+02
REGION,EGNGCCP02N,2066, 5.2462951836434718e+02
REGION,EGNGCCP02N,2067, 5.2462951836434718e+02
REGION,EGNGCCP02N,2068, 5.2462951836434718e+02
REGION,EGNGCCP02N,2069, 5.7884156519696273e+02
REGION,EGNGCCP02N,2070, 5.5384156519696285e+02
REGION,EGNGCCP04N,2015, 6.25
REGION,EGNGCCP04N,2016, 18.75
REGION,EGNGCCP04N,2017, 37.5
REGION,EGNGCCP04N,2018, 157.5
REGION,EGNGCCP04N,2019, 157.5
REGION,EGNGCCP04N,2020, 157.5
REGION,EGNGCCP04N,2021, 157.5
REGION,EGNGCCP04N,2022, 157.5
REGION,EGNGCCP04N,2023, 157.5
REGION,EGNGCCP04N,2024, 157.5
REGION,EGNGCCP04N,2025, 157.5
REGION,EGNGCCP04N,2026, 157.5
REGION,EGNGCCP04N,2027, 157.5
REGION,EGNGCCP04N,2028, 157.5
REGION,EGNGCCP04N,2029, 157.5
REGION,EGNGCCP04N,2030, 157.5
REGION,EGNGCCP04N,2031, 157.5
REGION,EGNGCCP04N,2032, 157.5
REGION,EGNGCCP04N,2033, 157.5
REGION,EGNGCCP04N,2034, 157.5
REGION,EGNGCCP04N,2035, 157.5
REGION,EGNGCCP04N,2036, 157.5
REGION,EGNGCCP04N,2037, 1.8039254081450537e+02
REGION,EGNGCCP04N,2038, 1.8039254081450537e+02
REGION,EGNGCCP04N,2039, 2.0539254081450537e+02
REGION,EGNGCCP04N,2040, 2.3039254081450537e+02
REGION,EGNGCCP04N,2041, 2.3922980026697752e+02
REGION,EGNGCCP04N,2042, 2.3922980026697752e+02
REGION,EGNGCCP04N,2043, 2.7672980026697752e+02
REGION,EGNGCCP04N,2044, 2.7672980026697752e+02
REGION,EGNGCCP04N,2045, 3.0797980026697752e+02
REGION,EGNGCCP04N,2046, 3.3297980026697752e+02
REGION,EGNGCCP04N,2047, 3.5172980026697752e+02
REGION,EGNGCCP04N,2048, 2.6922980026697752e+02
REGION,EGNGCCP04N,2049, 3.0672980026697752e+02
REGION,EGNGCCP04N,2050, 3.0672980026697752e+02
REGION,EGNGCCP04N,2051, 3.4422980026697752e+02
REGION,EGNGCCP04N,2052, 3.8172980026697752e+02
REGION,EGNGCCP04N,2053, 3.8172980026697752e+02
REGION,EGNGCCP04N,2054, 3.8172980026697752e+02
REGION,EGNGCCP04N,2055, 4.1922980026697752e+02
REGION,EGNGCCP04N,2056, 4.5672980026697752e+02
REGION,EGNGCCP04N,2057, 4.5672980026697752e+02
REGION,EGNGCCP04N,2058, 4.5672980026697752e+02
REGION,EGNGCCP04N,2059, 4.8556287002634315e+02
REGION,EGNGCCP04N,2060, 4.8556287002634315e+02
REGION,EGNGCCP04N,2061, 4.8556287002634315e+02
REGION,EGNGCCP04N,2062, 5.4376979604483051e+02
REGION,EGNGCCP04N,2063, 5.4376979604483051e+02
REGION,EGNGCCP04N,2064, 6.0626979604483051e+02
REGION,EGNGCCP04N,2065, 6.0626979604483051e+02
REGION,EGNGCCP04N,2066, 6.6876979604483051e+02
REGION,EGNGCCP04N,2067, 6.4672006960448789e+02
REGION,EGNGCCP04N,2068, 7.0922006960448789e+02
REGION,EGNGCCP04N,2069, 7.4672006960448789e+02
REGION,EGNGCCP04N,2070, 7.8039772563502515e+02
REGION,EGNGGCP02O,2015, 46.561
REGION,EGNGGCP02O,2016, 46.561
REGION,EGNGGCP02O,2017, 46.561
REGION,EGNGGCP02O,2018, 46.561
REGION,EGNGGCP02O,2019, 46.561
REGION,EGNGGCP02O,2020, 46.561
REGION,EGNGGCP02O,2021, 44.23295
REGION,EGNGGCP02O,2022, 41.9049
REGION,EGNGGCP02O,2023, 39.57685
REGION,EGNGGCP02O,2024, 37.2488
REGION,EGNGGCP02O,2025, 34.92075
REGION,EGNGGCP02O,2026, 32.5927
REGION,EGNGGCP02O,2027, 30.26465
REGION,EGNGGCP02O,2028, 27.9366
REGION,EGNGGCP02O,2029, 25.60855
REGION,EGNGGCP02O,2030, 23.2805
REGION,EGNGGCP02O,2031, 20.95245
REGION,EGNGGCP02O,2032, 18.6244
REGION,EGNGGCP02O,2033, 16.29635
REGION,EGNGGCP02O,2034, 13.9683
REGION,EGNGGCP02O,2035, 11.64025
REGION,EGNGGCP02O,2036, 9.3122
REGION,EGNGGCP02O,2037, 6.98415
REGION,EGNGGCP02O,2038, 4.6561
REGION,EGNGGCP02O,2039, 2.32805
REGION,EGNGGCP04O,2015, 242.46038
REGION,EGNGGCP04O,2016, 242.46038
