,y,Oil,Gas,Hydro,Solar PV
8,2023.0,0.444,0.298,0.0,0.0
9,2024.0,0.443,0.298,0.41,0.0
10,2025.0,0.311,0.298,0.41,0.0
11,2026.0,0.309,0.298,0.41,0.0
12,2027.0,0.245,0.298,0.41,0.0
13,2028.0,0.131,0.298,0.41,0.0
14,2029.0,0.018,0.298,0.41,0.0
15,2030.0,0.016,0.298,0.41,0.0
16,2031.0,0.014,0.298,0.41,0.0
17,2032.0,0.013,0.298,0.41,0.0
18,2033.0,0.011,0.337,0.41,0.0
19,2034.0,0.01,0.384,0.41,0.0
20,2035.0,0.008,0.435,0.41,0.0
21,2036.0,0.006,0.435,0.98,0.0
22,2037.0,0.005,0.435,0.98,0.0
23,2038.0,0.003,0.435,0.98,0.0
24,2039.0,0.002,0.435,0.98,0.0
25,2040.0,0.0,0.435,0.98,0.0
26,2041.0,0.0,0.435,0.98,0.0
27,2042.0,0.0,0.435,0.98,0.151
28,2043.0,0.0,0.435,0.98,0.47
29,2044.0,0.0,0.456,0.98,0.709
30,2045.0,0.0,0.472,0.98,0.995
31,2046.0,0.0,0.475,0.98,1.358
32,2047.0,0.0,0.458,0.98,1.836
33,2048.0,0.0,0.448,0.98,2.307
34,2049.0,0.0,0.471,0.98,2.649
35,2050.0,0.0,0.482,0.98,3.071
36,2051.0,0.0,0.489,0.98,3.334
37,2052.0,0.0,0.496,0.98,3.605
38,2053.0,0.0,0.503,0.98,3.886
39,2054.0,0.0,0.503,0.98,4.212
40,2055.0,0.0,0.503,0.98,4.549
41,2056.0,0.0,0.503,0.98,4.897
42,2057.0,0.0,0.509,0.98,5.233
43,2058.0,0.0,0.484,0.98,5.723
44,2059.0,0.0,0.457,0.98,6.235
45,2060.0,0.0,0.449,0.98,6.753
46,2061.0,0.0,0.465,0.98,7.018
47,2062.0,0.0,0.467,0.98,7.43
48,2063.0,0.0,0.467,0.98,7.87
49,2064.0,0.0,0.467,0.98,8.32
50,2065.0,0.0,0.468,0.98,8.773
51,2066.0,0.0,0.468,0.98,9.243
52,2067.0,0.0,0.468,0.98,9.724
53,2068.0,0.0,0.468,0.98,10.216
54,2069.0,0.0,0.447,0.98,10.923
55,2070.0,0.0,0.432,0.98,11.894
