,y,Oil,Gas,Hydro,Solar PV
8,2023.0,0.23,7.45,0.0,0.0
9,2024.0,0.05,0.16,8.01,0.0
10,2025.0,0.04,0.29,8.45,0.0
11,2026.0,0.04,0.43,8.92,0.0
12,2027.0,0.04,0.7,9.29,0.0
13,2028.0,0.03,1.09,9.6,0.0
14,2029.0,0.03,1.57,9.86,0.0
15,2030.0,0.03,2.17,10.04,0.0
16,2031.0,0.03,3.1,10.04,0.0
17,2032.0,0.02,4.07,10.04,0.0
18,2033.0,0.03,5.08,10.04,0.0
19,2034.0,0.03,6.19,10.04,0.0
20,2035.0,0.02,7.38,10.04,0.0
21,2036.0,0.01,0.27,18.41,0.0
22,2037.0,0.01,0.58,19.47,0.0
23,2038.0,0.01,0.91,20.6,0.0
24,2039.0,0.0,1.34,21.73,0.0
25,2040.0,0.0,2.15,22.6,0.0
26,2041.0,0.0,3.02,23.18,0.0
27,2042.0,0.0,3.45,23.47,0.81
28,2043.0,0.0,3.31,23.53,2.52
29,2044.0,0.0,3.53,23.75,3.81
30,2045.0,0.0,3.64,23.92,5.34
31,2046.0,0.0,3.56,23.98,7.29
32,2047.0,0.0,3.15,23.87,9.85
33,2048.0,0.0,2.83,23.82,12.38
34,2049.0,0.0,3.12,23.98,14.21
35,2050.0,0.0,3.28,23.98,16.48
36,2051.0,0.0,3.38,23.98,17.89
37,2052.0,0.0,3.48,23.98,19.34
38,2053.0,0.0,3.58,23.98,20.85
39,2054.0,0.0,3.59,23.88,22.6
40,2055.0,0.0,3.61,23.77,24.41
41,2056.0,0.0,3.63,23.66,26.28
42,2057.0,0.0,3.71,23.62,28.08
43,2058.0,0.0,3.58,23.01,30.71
44,2059.0,0.0,3.44,22.5,33.33
45,2060.0,0.0,3.31,21.74,36.24
46,2061.0,0.0,3.46,21.63,37.64
47,2062.0,0.0,3.37,21.21,39.61
48,2063.0,0.0,3.27,20.73,41.71
49,2064.0,0.0,3.15,20.23,43.86
50,2065.0,0.0,3.06,19.72,46.03
51,2066.0,0.0,2.97,19.17,48.27
52,2067.0,0.0,2.87,18.62,50.57
53,2068.0,0.0,2.78,18.05,52.92
54,2069.0,0.0,2.46,16.78,56.22
55,2070.0,0.0,1.87,14.65,60.69
